"251","month of birth","b1_14"
"252","month of birth","b1_15"
"253","month of birth","b1_16"
"254","month of birth","b1_17"
"255","month of birth","b1_18"
"256","month of birth","b1_19"
"257","month of birth","b1_20"
"258","year of birth","b2_01"
"259","year of birth","b2_02"
"260","year of birth","b2_03"
"261","year of birth","b2_04"
"262","year of birth","b2_05"
"263","year of birth","b2_06"
"264","year of birth","b2_07"
"265","year of birth","b2_08"
"266","year of birth","b2_09"
"267","year of birth","b2_10"
"268","year of birth","b2_11"
"269","year of birth","b2_12"
"270","year of birth","b2_13"
"271","year of birth","b2_14"
"272","year of birth","b2_15"
"273","year of birth","b2_16"
"274","year of birth","b2_17"
"275","year of birth","b2_18"
"276","year of birth","b2_19"
"277","year of birth","b2_20"
"278","date of birth (cmc)","b3_01"
"279","date of birth (cmc)","b3_02"
"280","date of birth (cmc)","b3_03"
"281","date of birth (cmc)","b3_04"
"282","date of birth (cmc)","b3_05"
"283","date of birth (cmc)","b3_06"
"284","date of birth (cmc)","b3_07"
"285","date of birth (cmc)","b3_08"
"286","date of birth (cmc)","b3_09"
"287","date of birth (cmc)","b3_10"
"288","date of birth (cmc)","b3_11"
"289","date of birth (cmc)","b3_12"
"290","date of birth (cmc)","b3_13"
"291","date of birth (cmc)","b3_14"
"292","date of birth (cmc)","b3_15"
"293","date of birth (cmc)","b3_16"
"294","date of birth (cmc)","b3_17"
"295","date of birth (cmc)","b3_18"
"296","date of birth (cmc)","b3_19"
"297","date of birth (cmc)","b3_20"
"298","sex of child","b4_01"
"299","sex of child","b4_02"
"300","sex of child","b4_03"
"301","sex of child","b4_04"
"302","sex of child","b4_05"
"303","sex of child","b4_06"
"304","sex of child","b4_07"
"305","sex of child","b4_08"
"306","sex of child","b4_09"
"307","sex of child","b4_10"
"308","sex of child","b4_11"
"309","sex of child","b4_12"
"310","sex of child","b4_13"
"311","sex of child","b4_14"
"312","sex of child","b4_15"
"313","sex of child","b4_16"
"314","sex of child","b4_17"
"315","sex of child","b4_18"
"316","sex of child","b4_19"
"317","sex of child","b4_20"
"318","child is alive","b5_01"
"319","child is alive","b5_02"
"320","child is alive","b5_03"
"321","child is alive","b5_04"
"322","child is alive","b5_05"
"323","child is alive","b5_06"
"324","child is alive","b5_07"
"325","child is alive","b5_08"
"326","child is alive","b5_09"
"327","child is alive","b5_10"
"328","child is alive","b5_11"
"329","child is alive","b5_12"
"330","child is alive","b5_13"
"331","child is alive","b5_14"
"332","child is alive","b5_15"
"333","child is alive","b5_16"
"334","child is alive","b5_17"
"335","child is alive","b5_18"
"336","child is alive","b5_19"
"337","child is alive","b5_20"
"338","age at death","b6_01"
"339","age at death","b6_02"
"340","age at death","b6_03"
"341","age at death","b6_04"
"342","age at death","b6_05"
"343","age at death","b6_06"
"344","age at death","b6_07"
"345","age at death","b6_08"
"346","age at death","b6_09"
"347","age at death","b6_10"
"348","age at death","b6_11"
"349","age at death","b6_12"
"350","age at death","b6_13"
"351","age at death","b6_14"
"352","age at death","b6_15"
"353","age at death","b6_16"
"354","age at death","b6_17"
"355","age at death","b6_18"
"356","age at death","b6_19"
"357","age at death","b6_20"
"358","age at death (months, imputed)","b7_01"
"359","age at death (months, imputed)","b7_02"
"360","age at death (months, imputed)","b7_03"
"361","age at death (months, imputed)","b7_04"
"362","age at death (months, imputed)","b7_05"
"363","age at death (months, imputed)","b7_06"
"364","age at death (months, imputed)","b7_07"
"365","age at death (months, imputed)","b7_08"
"366","age at death (months, imputed)","b7_09"
"367","age at death (months, imputed)","b7_10"
"368","age at death (months, imputed)","b7_11"
"369","age at death (months, imputed)","b7_12"
"370","age at death (months, imputed)","b7_13"
"371","age at death (months, imputed)","b7_14"
"372","age at death (months, imputed)","b7_15"
"373","age at death (months, imputed)","b7_16"
"374","age at death (months, imputed)","b7_17"
"375","age at death (months, imputed)","b7_18"
"376","age at death (months, imputed)","b7_19"
"377","age at death (months, imputed)","b7_20"
"378","current age of child","b8_01"
"379","current age of child","b8_02"
"380","current age of child","b8_03"
"381","current age of child","b8_04"
"382","current age of child","b8_05"
"383","current age of child","b8_06"
"384","current age of child","b8_07"
"385","current age of child","b8_08"
"386","current age of child","b8_09"
"387","current age of child","b8_10"
"388","current age of child","b8_11"
"389","current age of child","b8_12"
"390","current age of child","b8_13"
"391","current age of child","b8_14"
"392","current age of child","b8_15"
"393","current age of child","b8_16"
"394","current age of child","b8_17"
"395","current age of child","b8_18"
"396","current age of child","b8_19"
"397","current age of child","b8_20"
"398","child lives with whom","b9_01"
"399","child lives with whom","b9_02"
"400","child lives with whom","b9_03"
"401","child lives with whom","b9_04"
"402","child lives with whom","b9_05"
"403","child lives with whom","b9_06"
"404","child lives with whom","b9_07"
"405","child lives with whom","b9_08"
"406","child lives with whom","b9_09"
"407","child lives with whom","b9_10"
"408","child lives with whom","b9_11"
"409","child lives with whom","b9_12"
"410","child lives with whom","b9_13"
"411","child lives with whom","b9_14"
"412","child lives with whom","b9_15"
"413","child lives with whom","b9_16"
"414","child lives with whom","b9_17"
"415","child lives with whom","b9_18"
"416","child lives with whom","b9_19"
"417","child lives with whom","b9_20"
"418","completeness of information","b10_01"
"419","completeness of information","b10_02"
"420","completeness of information","b10_03"
"421","completeness of information","b10_04"
"422","completeness of information","b10_05"
"423","completeness of information","b10_06"
"424","completeness of information","b10_07"
"425","completeness of information","b10_08"
"426","completeness of information","b10_09"
"427","completeness of information","b10_10"
"428","completeness of information","b10_11"
"429","completeness of information","b10_12"
"430","completeness of information","b10_13"
"431","completeness of information","b10_14"
"432","completeness of information","b10_15"
"433","completeness of information","b10_16"
"434","completeness of information","b10_17"
"435","completeness of information","b10_18"
"436","completeness of information","b10_19"
"437","completeness of information","b10_20"
"438","preceding birth interval (months)","b11_01"
"439","preceding birth interval (months)","b11_02"
"440","preceding birth interval (months)","b11_03"
"441","preceding birth interval (months)","b11_04"
"442","preceding birth interval (months)","b11_05"
"443","preceding birth interval (months)","b11_06"
"444","preceding birth interval (months)","b11_07"
"445","preceding birth interval (months)","b11_08"
"446","preceding birth interval (months)","b11_09"
"447","preceding birth interval (months)","b11_10"
"448","preceding birth interval (months)","b11_11"
"449","preceding birth interval (months)","b11_12"
"450","preceding birth interval (months)","b11_13"
"451","preceding birth interval (months)","b11_14"
"452","preceding birth interval (months)","b11_15"
"453","preceding birth interval (months)","b11_16"
"454","preceding birth interval (months)","b11_17"
"455","preceding birth interval (months)","b11_18"
"456","preceding birth interval (months)","b11_19"
"457","preceding birth interval (months)","b11_20"
"458","succeeding birth interval (months)","b12_01"
"459","succeeding birth interval (months)","b12_02"
"460","succeeding birth interval (months)","b12_03"
"461","succeeding birth interval (months)","b12_04"
"462","succeeding birth interval (months)","b12_05"
"463","succeeding birth interval (months)","b12_06"
"464","succeeding birth interval (months)","b12_07"
"465","succeeding birth interval (months)","b12_08"
"466","succeeding birth interval (months)","b12_09"
"467","succeeding birth interval (months)","b12_10"
"468","succeeding birth interval (months)","b12_11"
"469","succeeding birth interval (months)","b12_12"
"470","succeeding birth interval (months)","b12_13"
"471","succeeding birth interval (months)","b12_14"
"472","succeeding birth interval (months)","b12_15"
"473","succeeding birth interval (months)","b12_16"
"474","succeeding birth interval (months)","b12_17"
"475","succeeding birth interval (months)","b12_18"
"476","succeeding birth interval (months)","b12_19"
"477","succeeding birth interval (months)","b12_20"
"478","flag for age at death","b13_01"
"479","flag for age at death","b13_02"
"480","flag for age at death","b13_03"
"481","flag for age at death","b13_04"
"482","flag for age at death","b13_05"
"483","flag for age at death","b13_06"
"484","flag for age at death","b13_07"
"485","flag for age at death","b13_08"
"486","flag for age at death","b13_09"
"487","flag for age at death","b13_10"
"488","flag for age at death","b13_11"
"489","flag for age at death","b13_12"
"490","flag for age at death","b13_13"
"491","flag for age at death","b13_14"
"492","flag for age at death","b13_15"
"493","flag for age at death","b13_16"
"494","flag for age at death","b13_17"
"495","flag for age at death","b13_18"
"496","flag for age at death","b13_19"
"497","flag for age at death","b13_20"
"498","live birth between births","b15_01"
"499","live birth between births","b15_02"
"500","live birth between births","b15_03"
"501","live birth between births","b15_04"
"502","live birth between births","b15_05"
"503","live birth between births","b15_06"
"504","live birth between births","b15_07"
"505","live birth between births","b15_08"
"506","live birth between births","b15_09"
"507","live birth between births","b15_10"
"508","live birth between births","b15_11"
"509","live birth between births","b15_12"
"510","live birth between births","b15_13"
"511","live birth between births","b15_14"
"512","live birth between births","b15_15"
"513","live birth between births","b15_16"
"514","live birth between births","b15_17"
"515","live birth between births","b15_18"
"516","live birth between births","b15_19"
"517","live birth between births","b15_20"
"518","child's line number in household","b16_01"
"519","child's line number in household","b16_02"
"520","child's line number in household","b16_03"
"521","child's line number in household","b16_04"
"522","child's line number in household","b16_05"
"523","child's line number in household","b16_06"
"524","child's line number in household","b16_07"
"525","child's line number in household","b16_08"
"526","child's line number in household","b16_09"
"527","child's line number in household","b16_10"
"528","child's line number in household","b16_11"
"529","child's line number in household","b16_12"
"530","child's line number in household","b16_13"
"531","child's line number in household","b16_14"
"532","child's line number in household","b16_15"
"533","child's line number in household","b16_16"
"534","child's line number in household","b16_17"
"535","child's line number in household","b16_18"
"536","child's line number in household","b16_19"
"537","child's line number in household","b16_20"
"538","total children ever born","v201"
"539","sons at home","v202"
"540","daughters at home","v203"
"541","sons elsewhere","v204"
"542","daughters elsewhere","v205"
"543","sons who have died","v206"
"544","daughters who have died","v207"
"545","births in last five years","v208"
"546","births in past year","v209"
"547","births in month of interview","v210"
"548","na - date of first birth (cmc)","v211"
"549","na - age of respondent at 1st birth","v212"
"550","currently pregnant","v213"
"551","duration of current pregnancy","v214"
"552","time since last menstrual period","v215"
"553","menstruated in last six weeks","v216"
"554","na - knowledge of ovulatory cycle","v217"
"555","number of living children","v218"
"556","living children + current pregnancy","v219"
"557","living children + current pregnancy (grouped)","v220"
"558","na - marriage to first birth interval (months)","v221"
"559","last birth to interview (months)","v222"
"560","completeness of current pregnancy information","v223"
"561","entries in birth history","v224"
"562","current pregnancy wanted","v225"
"563","time since last period (comp) (months)","v226"
"564","flag for last period","v227"
"565","na - ever had a terminated pregnancy","v228"
"566","na - month pregnancy ended","v229"
"567","na - year pregnancy ended","v230"
"568","na - cmc pregnancy ended","v231"
"569","na - completeness of last termination information","v232"
"570","na - months when pregnancy ended","v233"
"571","na - other such pregnancies","v234"
"572","na - index last child prior to maternity-health (calendar)","v235"
"573","birth between last and interview","v237"
"574","births in last three years","v238"
"575","na - pregnancies terminated before calendar beginning","v239"
"576","na - month of last termination prior to calendar","v240"
"577","na - year of last termination prior to calendar","v241"
"578","na - cmc termination ended prior to calendar","v242"
"579","na - completeness of last termination date prior to calendar","v243"
"580","total children ever born","mv201"
"581","sons at home","mv202"
"582","daughters at home","mv203"
"583","sons elsewhere","mv204"
"584","daughters elsewhere","mv205"
"585","sons who have died","mv206"
"586","daughters who have died","mv207"
"587","age of respondent at 1st birth","mv212"
"588","na - partner currently pregnant","mv213"
"589","na - knowledge of ovulatory cycle","mv217"
"590","number of living children","mv218"
"591","na - most recent pregnancy wanted","mv225"
"592","number of women fathered children with","mv245"
"593","na - married to mother when first child was born","mv246"
"594","age of most recent child","mv247"
"595","antenatal check-ups for the mother of most recent child","mv248"
"596","respondent present during check-ups for most recent child","mv249"
"597","place of birth of most recent child","mv250"
"598","na - reason for not delivering most recent child in health facility","mv251"
"599","na - amount a child should drink, when that child has diarrhea","mv252"
"600","na - knowledge of any method","v301"
"601","na - ever use of any method","v302"
"602","ever used anything or tried to delay or avoid getting pregnant","v302a"
"603","na - type of method","v304a_01"
"604","na - type of method","v304a_02"
"605","na - type of method","v304a_03"
"606","na - type of method","v304a_04"
"607","na - type of method","v304a_05"
"608","na - type of method","v304a_06"
"609","na - type of method","v304a_07"
"610","na - type of method","v304a_08"
"611","na - type of method","v304a_09"
"612","na - type of method","v304a_10"
"613","na - type of method","v304a_11"
"614","na - type of method","v304a_12"
"615","na - type of method","v304a_13"
"616","na - type of method","v304a_14"
"617","na - type of method","v304a_15"
"618","na - type of method","v304a_16"
"619","na - type of method","v304a_17"
"620","na - type of method","v304a_18"
"621","na - type of method","v304a_19"
"622","na - type of method","v304a_20"
"623","na - knows method","v304_01"
"624","na - knows method","v304_02"
"625","na - knows method","v304_03"
"626","na - knows method","v304_04"
"627","na - knows method","v304_05"
"628","na - knows method","v304_06"
"629","na - knows method","v304_07"
"630","na - knows method","v304_08"
"631","na - knows method","v304_09"
"632","na - knows method","v304_10"
"633","na - knows method","v304_11"
"634","na - knows method","v304_12"
"635","na - knows method","v304_13"
"636","na - knows method","v304_14"
"637","na - knows method","v304_15"
"638","na - knows method","v304_16"
"639","na - knows method","v304_17"
"640","na - knows method","v304_18"
"641","na - knows method","v304_19"
"642","na - knows method","v304_20"
"643","na - ever used method","v305_01"
"644","na - ever used method","v305_02"
"645","na - ever used method","v305_03"
"646","na - ever used method","v305_04"
"647","na - ever used method","v305_05"
"648","na - ever used method","v305_06"
"649","na - ever used method","v305_07"
"650","na - ever used method","v305_08"
"651","na - ever used method","v305_09"
"652","na - ever used method","v305_10"
"653","na - ever used method","v305_11"
"654","na - ever used method","v305_12"
"655","na - ever used method","v305_13"
"656","na - ever used method","v305_14"
"657","na - ever used method","v305_15"
"658","na - ever used method","v305_16"
"659","na - ever used method","v305_17"
"660","na - ever used method","v305_18"
"661","na - ever used method","v305_19"
"662","na - ever used method","v305_20"
"663","na - method currently used","v307_01"
"664","na - method currently used","v307_02"
"665","na - method currently used","v307_03"
"666","na - method currently used","v307_04"
"667","na - method currently used","v307_05"
"668","na - method currently used","v307_06"
"669","na - method currently used","v307_07"
"670","na - method currently used","v307_08"
"671","na - method currently used","v307_09"
"672","na - method currently used","v307_10"
"673","na - method currently used","v307_11"
"674","na - method currently used","v307_12"
"675","na - method currently used","v307_13"
"676","na - method currently used","v307_14"
"677","na - method currently used","v307_15"
"678","na - method currently used","v307_16"
"679","na - method currently used","v307_17"
"680","na - method currently used","v307_18"
"681","na - method currently used","v307_19"
"682","na - method currently used","v307_20"
"683","na - knowledge of any contraceptive method","mv301"
"684","na - ever use of any contraceptive method","mv302"
"685","na - type of contraceptive method","m304a_01"
"686","na - type of contraceptive method","m304a_02"
"687","na - type of contraceptive method","m304a_03"
"688","na - type of contraceptive method","m304a_04"
"689","na - type of contraceptive method","m304a_05"
"690","na - type of contraceptive method","m304a_06"
"691","na - type of contraceptive method","m304a_07"
"692","na - type of contraceptive method","m304a_08"
"693","na - type of contraceptive method","m304a_09"
"694","na - type of contraceptive method","m304a_10"
"695","na - type of contraceptive method","m304a_11"
"696","na - type of contraceptive method","m304a_12"
"697","na - type of contraceptive method","m304a_13"
"698","na - type of contraceptive method","m304a_14"
"699","na - type of contraceptive method","m304a_15"
"700","na - type of contraceptive method","m304a_16"
"701","na - type of contraceptive method","m304a_17"
"702","na - type of contraceptive method","m304a_18"
"703","na - type of contraceptive method","m304a_19"
"704","na - type of contraceptive method","m304a_20"
"705","na - knows contraceptive method","mv304_01"
"706","na - knows contraceptive method","mv304_02"
"707","na - knows contraceptive method","mv304_03"
"708","na - knows contraceptive method","mv304_04"
"709","na - knows contraceptive method","mv304_05"
"710","na - knows contraceptive method","mv304_06"
"711","na - knows contraceptive method","mv304_07"
"712","na - knows contraceptive method","mv304_08"
"713","na - knows contraceptive method","mv304_09"
"714","na - knows contraceptive method","mv304_10"
"715","na - knows contraceptive method","mv304_11"
"716","na - knows contraceptive method","mv304_12"
"717","na - knows contraceptive method","mv304_13"
"718","na - knows contraceptive method","mv304_14"
"719","na - knows contraceptive method","mv304_15"
"720","na - knows contraceptive method","mv304_16"
"721","na - knows contraceptive method","mv304_17"
"722","na - knows contraceptive method","mv304_18"
"723","na - knows contraceptive method","mv304_19"
"724","na - knows contraceptive method","mv304_20"
"725","na - ever used contraceptive method","mv305_01"
"726","na - ever used contraceptive method","mv305_02"
"727","na - ever used contraceptive method","mv305_03"
"728","na - ever used contraceptive method","mv305_04"
"729","na - ever used contraceptive method","mv305_05"
"730","na - ever used contraceptive method","mv305_06"
"731","na - ever used contraceptive method","mv305_07"
"732","na - ever used contraceptive method","mv305_08"
"733","na - ever used contraceptive method","mv305_09"
"734","na - ever used contraceptive method","mv305_10"
"735","na - ever used contraceptive method","mv305_11"
"736","na - ever used contraceptive method","mv305_12"
"737","na - ever used contraceptive method","mv305_13"
"738","na - ever used contraceptive method","mv305_14"
"739","na - ever used contraceptive method","mv305_15"
"740","na - ever used contraceptive method","mv305_16"
"741","na - ever used contraceptive method","mv305_17"
"742","na - ever used contraceptive method","mv305_18"
"743","na - ever used contraceptive method","mv305_19"
"744","na - ever used contraceptive method","mv305_20"
"745","na - contraceptive method currently used","mv307_01"
"746","na - contraceptive method currently used","mv307_02"
"747","na - contraceptive method currently used","mv307_03"
"748","na - contraceptive method currently used","mv307_04"
"749","na - contraceptive method currently used","mv307_05"
"750","na - contraceptive method currently used","mv307_06"
"751","na - contraceptive method currently used","mv307_07"
"752","na - contraceptive method currently used","mv307_08"
"753","na - contraceptive method currently used","mv307_09"
"754","na - contraceptive method currently used","mv307_10"
"755","na - contraceptive method currently used","mv307_11"
"756","na - contraceptive method currently used","mv307_12"
"757","na - contraceptive method currently used","mv307_13"
"758","na - contraceptive method currently used","mv307_14"
"759","na - contraceptive method currently used","mv307_15"
"760","na - contraceptive method currently used","mv307_16"
"761","na - contraceptive method currently used","mv307_17"
"762","na - contraceptive method currently used","mv307_18"
"763","na - contraceptive method currently used","mv307_19"
"764","na - contraceptive method currently used","mv307_20"
"765","na - living children at first use","v310"
"766","na - children at first use (grouped)","v311"
"767","current contraceptive method","v312"
"768","current use by method type","v313"
"769","month of start of use of method","v315"
"770","year of start of use of method","v316"
"771","date of start of use of method (cmc)","v317"
"772","completeness of information","v318"
"773","years since sterilization","v319"
"774","age at sterilization","v320"
"775","marital duration at sterilization","v321"
"776","parity at sterilization","v322"
"777","na - brand of pill used","v323"
"778","na - brand of condom used","v323a"
"779","na - cost of current method (in currency)","v325a"
"780","na - last source for current users","v326"
"781","na - last source for users by type","v327"
"782","months of use of current method","v337"
"783","na - last method discontinued in last 5 years","v359"
"784","na - reason of last discontinuation","v360"
"785","na - pattern of use","v361"
"786","na - intention to use","v362"
"787","na - preferred future method","v363"
"788","na - contraceptive use and intention","v364"
"789","wanted last child","v367"
"790","na - shown pill package","v372"
"791","na - shown condom package","v372a"
"792","na - main reason not using a method","v375a"
"793","na - main reason not to use a method","v376"
"794","na - would ever use method if married","v376a"
"795","na - source known for any method","v379"
"796","na - source known for any method","v380"
"797","na - heard family planning on radio last few months","v384a"
"798","na - heard family planning on tv last few months","v384b"
"799","na - heard family planning in newspaper/magazine last few months","v384c"
"800","na - visited by family planning worker last 12 months","v393"
"801","na - visited health facility last 12 months","v394"
"802","na - at health facility, told of family planning","v395"
"803","na - source of family planning for non-users: government hospital","v3a00a"
"804","na - source of family planning for non-users: cs public sector","v3a00b"
"805","na - source of family planning for non-users: cs public sector","v3a00c"
"806","na - source of family planning for non-users: cs public sector","v3a00d"
"807","na - source of family planning for non-users: cs public sector","v3a00e"
"808","na - source of family planning for non-users: cs public sector","v3a00f"
"809","na - source of family planning for non-users: cs public sector","v3a00g"
"810","na - source of family planning for non-users: cs public sector","v3a00h"
"811","na - source of family planning for non-users: cs public sector","v3a00i"
"812","na - source of family planning for non-users: private hospital/clinic","v3a00j"
"813","na - source of family planning for non-users: pharmacy","v3a00k"
"814","na - source of family planning for non-users: private doctor","v3a00l"
"815","na - source of family planning for non-users: cs private sector","v3a00m"
"816","na - source of family planning for non-users: cs private sector","v3a00n"
"817","na - source of family planning for non-users: cs private sector","v3a00o"
"818","na - source of family planning for non-users: cs private sector","v3a00p"
"819","na - source of family planning for non-users: cs private sector","v3a00q"
"820","na - source of family planning for non-users: cs private sector","v3a00r"
"821","na - source of family planning for non-users: cs other","v3a00s"
"822","na - source of family planning for non-users: cs other","v3a00t"
"823","na - source of family planning for non-users: cs other","v3a00u"
