Sex, NAME     ,    LABEL
Men, mv034b_6 ,    age of wife/partner 
Men, mv034b_7 ,    age of wife/partner 
Men, mv034b_8 ,    age of wife/partner 
Men, mv035    ,   number of wives/ partners   
Men, mv801    ,   time interview started  
Men, mv802    ,   time interview ended    
Men, mv803    ,   length of interview in minutes  
Men, mv101    ,   region  
Men, mv102    ,   type of place of residence  
Men, mv103    ,   childhood place of residence    
Men, mv104    ,   years lived in place of res.    
Men, mv105    ,   type of place of previous res.  
Men, mv106    ,   highest educational level   
Men, mv107    ,   highest year of education   
Men, mv130    ,   religion    
Men, mv131    ,   ethnicity   
Men, mv133    ,   education in single years   
Men, mv134    ,   de facto place of residence 
Men, mv135    ,   usual resident or visitor   
Men, mv136    ,   number of household members 
Men, mv138    ,   number of eligible men in hh    
Men, mv149    ,   educational attainment  
Men, mv150    ,   relationship to household head  
Men, mv151    ,   sex of household head   
Men, mv152    ,   age of household head   
Men, mv155    ,   literacy    
Men, mv156    ,   ever participated in a literacy program outside of primary  
Men, mv157    ,   frequency of reading newpaper or magazine   
Men, mv158    ,   frequency of listening to radio 
Men, mv159    ,   frequency of watching television    
Men, mv167    ,   times away from home in last 12 months  
Men, mv168    ,   away for more than one month    
Men, mv190    ,   wealth index    
Men, mv191    ,   wealth index factor score (5 decimals)  
Men, mv201    ,   total children ever born    
Men, mv202    ,   sons at home    
Men, mv203    ,   daughters at home   
Men, mv204    ,   sons elsewhere  
Men, mv205    ,   daughters elsewhere 
Men, mv206    ,   sons who have died  
Men, mv207    ,   daughters who have died 
Men, mv212    ,   age of respondent at 1st birth  
Men, mv213    ,   partner currently pregnant  
Men, mv217    ,   knowledge of ovulatory cycle    
Men, mv218    ,   number of living children   
Men, mv225    ,   current pregnancy wanted    
Men, mv245    ,   women fathered children with    
Men, mv246    ,   married to mother when first child was born 
Men, mv247    ,   age of youngest child   
Men, mv248    ,   antenatal check-ups for the mother for youngest child   
Men, mv249    ,   respondent present during check-ups for youngest child  
Men, mv250    ,   place of birth of youngest child    
Men, mv251    ,   reason for not delivering youngest child in health facility 
Men, mv252    ,   drinking pattern when child has diarrhea    
Men, mv301    ,   knowledge of any method 
Men, mv302    ,   ever use of any method  
Men, m304a_01 ,    type of method  
Men, m304a_02 ,    type of method  
Men, m304a_03 ,    type of method  
Men, m304a_04 ,    type of method  
Men, m304a_05 ,    type of method  
Men, m304a_06 ,    type of method  
Men, m304a_07 ,    type of method  
Men, m304a_08 ,    type of method  
Men, m304a_09 ,    type of method  
Men, m304a_10 ,    type of method  
Men, m304a_11 ,    type of method  
Men, m304a_12 ,    type of method  
Men, m304a_13 ,    type of method  
Men, m304a_14 ,    type of method  
Men, m304a_15 ,    type of method  
Men, m304a_16 ,    type of method  
Men, m304a_17 ,    type of method  
Men, m304a_18 ,    type of method  
Men, m304a_19 ,    type of method  
Men, m304a_20 ,    type of method  
Men, mv304_01 ,    knows method    
Men, mv304_02 ,    knows method    
Men, mv304_03 ,    knows method    
Men, mv304_04 ,    knows method    
Men, mv304_05 ,    knows method    
Men, mv304_06 ,    knows method    
Men, mv304_07 ,    knows method    
Men, mv304_08 ,    knows method    
Men, mv304_09 ,    knows method    
Men, mv304_10 ,    knows method    
Men, mv304_11 ,    knows method    
Men, mv304_12 ,    knows method    
Men, mv304_13 ,    knows method    
Men, mv304_14 ,    knows method    
Men, mv304_15 ,    knows method    
Men, mv304_16 ,    knows method    
Men, mv304_17 ,    knows method    
Men, mv304_18 ,    knows method    
Men, mv304_19 ,    knows method    
Men, mv304_20 ,    knows method    
Men, mv305_01 ,    ever used method    
Men, mv305_02 ,    ever used method    
Men, mv305_03 ,    ever used method    
Men, mv305_04 ,    ever used method    
Men, mv305_05 ,    ever used method    
Men, mv305_06 ,    ever used method    
Men, mv305_07 ,    ever used method    
Men, mv305_08 ,    ever used method    
Men, mv305_09 ,    ever used method    
Men, mv305_10 ,    ever used method    
Men, mv305_11 ,    ever used method    
Men, mv305_12 ,    ever used method    
Men, mv305_13 ,    ever used method    
Men, mv305_14 ,    ever used method    
Men, mv305_15 ,    ever used method    
Men, mv305_16 ,    ever used method    
Men, mv305_17 ,    ever used method    
Men, mv305_18 ,    ever used method    
Men, mv305_19 ,    ever used method    
Men, mv305_20 ,    ever used method    
Men, mv307_01 ,    method currently used   
Men, mv307_02 ,    method currently used   
Men, mv307_03 ,    method currently used   
Men, mv307_04 ,    method currently used   
Men, mv307_05 ,    method currently used   
Men, mv307_06 ,    method currently used   
Men, mv307_07 ,    method currently used   
Men, mv307_08 ,    method currently used   
Men, mv307_09 ,    method currently used   
Men, mv307_10 ,    method currently used   
Men, mv307_11 ,    method currently used   
Men, mv307_12 ,    method currently used   
Men, mv307_13 ,    method currently used   
Men, mv307_14 ,    method currently used   
Men, mv307_15 ,    method currently used   
Men, mv307_16 ,    method currently used   
Men, mv307_17 ,    method currently used   
Men, mv307_18 ,    method currently used   
Men, mv307_19 ,    method currently used   
Men, mv307_20 ,    method currently used   
Men, mv312    ,   current contraceptive method    
Men, mv313    ,   current use by method type  
Men, mv323a   ,  brand of condom used    
Men, mv325b   ,  cost of condoms last time obtained  
Men, mv372a   ,  shown condom package    
Men, mv384a   ,  heard fp on radio last months   
Men, mv384b   ,  heard fp on tv last months  
Men, mv384c   ,  heard fp newspaper last months  
Men, mv395    ,   discuused fp with health worker last few months 
Men, mv396    ,   can a woman who is breastfeeding get pregnant   
Men, mv3a09b  , how many condoms did get last time  
Men, mv3b17   ,  source of condoms   
Men, mv3b25a  , contraception is woman's business/ man should not worry 
Men, mv3b25b  , women who use contraception become promiscuous  
Men, mv463a   ,  smokes cigarettes   
Men, mv463b   ,  smokes pipe 
Men, mv463c   ,  cheweing tobacco    
Men, mv463d   ,  smokes snuff    
Men, mv463e   ,  smokes country specific 
Men, mv463f   ,  smokes country specific 
Men, mv463g   ,  smokes country specific 
Men, mv463x   ,  smokes other    
Men, mv463z   ,  smokes nothing  
Men, mv464    ,   number of cigarettes in last 24 hours   
Men, mv474    ,   heard of tuberculosis or tb 
Men, mv474a   ,  tuberculosis spread by: air when coughing or sneezing   
Men, mv474b   ,  tuberculosis spread by: sharing utensils    
Men, mv474c   ,  tuberculosis spread by: touching a person with tb   
Men, mv474d   ,  tuberculosis spread through food    
Men, mv474e   ,  tuberculosis spread by: sexual contact  
Men, mv474f   ,  tuberculosis spread by: mosquito bites  
Men, mv474g   ,  tuberculosis spread by: cs  
Men, mv474h   ,  tuberculosis spread by: cs  
Men, mv474i   ,  tuberculosis spread by: cs  
Men, mv474j   ,  tuberculosis spread by: cs  
Men, mv474x   ,  tuberculosis spread by: other   
Men, mv474z   ,  tuberculosis spread by: don't know  
Men, mv475    ,   can tuberculosis be cured   
Men, mv476    ,   keep secret when family member gets tb  
Men, mv477    ,   number of injections in last 12 months  
Men, mv478    ,   injections administered by a health worker  
Men, mv479    ,   source for injection by health worker   
Men, mv480    ,   syinge and needle from new/ unopened package    
Men, mv481    ,   covered by health insurance 
Men, mv481a   ,  health insurance type: mutual/community organization    
Men, mv481b   ,  health insurance type: provided by employer 
Men, mv481c   ,  health insurance type: social security  
Men, mv481d   ,  health insurance type: private/commercial purchased 
Men, mv481e   ,  health insurance type: cs   
Men, mv481f   ,  health insurance type: cs   
Men, mv481g   ,  health insurance type: cs   
Men, mv481h   ,  health insurance type: cs   
Men, mv481x   ,  health insurance type: other    
Men, mv482a   ,  arrange care of biological children under age 18    
Men, mv482b   ,  primary caregiver of children under age 18  
Men, mv482c   ,  arrange care of non-biological children < 18    
Men, mv483    ,   is respondent circumcised   
Men, mv501    ,   current marital status  
Men, mv502    ,   currently/formerly/never marr.  
Men, mv503    ,   number of unions    
Men, mv504    ,   wife/partner lives with respondent  
Men, mv505    ,   number of wives/ partners   
Men, mv507    ,   month of first marriage 
Men, mv508    ,   year of first marriage  
Men, mv509    ,   date of first marriage (cmc)    
Men, mv510    ,   completeness of date inform.    
Men, mv511    ,   age at first marriage   
Men, mv512    ,   years since first marriage  
Men, mv513    ,   marital duration (grouped)  
Men, mv525    ,   age at first intercourse    
Men, mv527    ,   time since last intercourse 
Men, mv531    ,   age at first intercourse (imp)  
Men, mv532    ,   flag for mv531  
Men, mv535    ,   have ever been married  
Men, mv536    ,   recent sexual activity  
Men, mv541    ,   intend to wait until married to have sex    
Men, mv602    ,   fertility preference    
Men, mv603    ,   preferred waiting time  
Men, mv604    ,   preferred waiting time (grpd)   
Men, mv605    ,   desire for more children    
Men, mv613    ,   ideal number of children    
Men, mv614    ,   ideal number of children (grp)  
Men, mv616    ,   time for future birth   
Men, mv621    ,   wifes desire for children   
Men, mv627    ,   ideal number of boys    
Men, mv628    ,   ideal number of girls   
Men, mv629    ,   ideal number of either sex  
Men, mv631    ,   problem if became pregnant  
Men, mv633a   ,  reason for not having sex: husband has std  
Men, mv633b   ,  reason for not having sex: husband has other women  
Men, mv633c   ,  reason for not having sex: recent birth 
Men, mv633d   ,  reason for not having sex: tired/ mood  
Men, mv633e   ,  reason for not having sex: cs   
Men, mv633f   ,  reason for not having sex: cs   
Men, mv633g   ,  reason for not having sex: cs   
Men, mv634a   ,  husband has right to: get angry 
Men, mv634b   ,  husband has right to: refuse financial support  
Men, mv634c   ,  husband has right to: use force for unwanted sex    
Men, mv634d   ,  husband has right to: have sex with another women   
Men, mv714    ,   respondent currently working    
Men, mv714a   ,  have a job from which respondent was absent 
Men, mv716    ,   respondent's occupation 
Men, mv717    ,   respondent's occupation 
Men, mv719    ,   work for family/ others/ self   
Men, mv721    ,   works at home or away   
Men, mv731    ,   worked in last 12 months    
Men, mv732    ,   employment all year/seasonal    
Men, mv739    ,   who decides how to spend money  
Men, mv740    ,   type of land where resp. works  
Men, mv741    ,   type of earnings for work   
Men, mv743a   ,  final say on own health care    
Men, mv743b   ,  final say on making large household purchases   
Men, mv743c   ,  final say on making household purchases for daily needs 
Men, mv743d   ,  final say on visits to family or relatives  
Men, mv743e   ,  final say on food to be cooked each day 
Men, mv743f   ,  final say on deciding what to do with money wife earns  
Men, mv743g   ,  final say on deciding how many children to have 
Men, mv744a   ,  wife beating justified if she goes out without telling him  
Men, mv744b   ,  wife beating justified if she neglects the children 
Men, mv744c   ,  wife beating justified if she argues with him   
Men, mv744d   ,  wife beating justified if she refuses to have sex with him  
Men, mv744e   ,  wife beating justified if she burns the food    
Men, mv747a   ,  childbearing is a woman's concern   
Men, mv747b   ,  important for mother/child health to get assistance at deliv    
Men, mv750    ,   heard sexual transmit. disease  
Men, mv751    ,   ever heard of aids  
Men, mv754bp  , reduce risk of getting aids by not having sex at all    
Men, mv754cp  , reduce chances of aids by always using condoms during sex   
Men, mv754dp  , reduce chance of aids: have 1 sex partner with no oth partnr    
Men, mv754jp  , get aids from mosquito bites    
Men, mv754wp  , get aids by sharing food with person who has aids   
Men, mv756    ,   can a healthy person have aids  
Men, mv761    ,   last intercourse used condom    
Men, mv761b   ,  intercourse with other woman (1) used condom    
Men, mv761c   ,  intercourse with other woman (2) used condom    
Men, mv762aa  , source for condoms: government hospital 
Men, mv762ab  , source for condoms: government health center/post   
Men, mv762ac  , source for condoms: family planning clinic  
Men, mv762ad  , source for condoms: mobile clinic   
Men, mv762ae  , source for condoms: public field worker 
Men, mv762af  , source for condoms: other public    
Men, mv762ag  , source for condoms: public cs   
Men, mv762ah  , source for condoms: public cs   
Men, mv762ai  , source for condoms: public cs   
Men, mv762aj  , source for condoms: private hosp/ clinic    
Men, mv762ak  , source for condoms: pharmacy    
Men, mv762al  , source for condoms: private doctor  
Men, mv762am  , source for condoms: private mobile clinic   
Men, mv762an  , source for condoms: private field worker    
Men, mv762ao  , source for condoms: other private   
Men, mv762ap  , source for condoms: private cs  
Men, mv762aq  , source for condoms: private cs  
Men, mv762ar  , source for condoms: private cs  
Men, mv762as  , source for condoms: shop    
Men, mv762at  , source for condoms: church  
Men, mv762au  , source for condoms: friends/ relatives  
Men, mv762av  , source for condoms: cs  
Men, mv762aw  , source for condoms: cs  
Men, mv762ax  , source for condoms: other   
Men, mv762az  , source for condoms: dk source for condom    
Men, mv762ba  , source for female condoms: government hospital  
Men, mv762bb  , source for female condoms: government health center/post    
Men, mv762bc  , source for female condoms: family planning clinic   
Men, mv762bd  , source for female condoms: mobile clinic    
Men, mv762be  , source for female condoms: public field worker  
Men, mv762bf  , source for female condoms: other public 
Men, mv762bg  , source for female condoms: public cs    
Men, mv762bh  , source for female condoms: public cs    
Men, mv762bi  , source for female condoms: public cs    
Men, mv762bj  , source for female condoms: private hosp/ clinic 
Men, mv762bk  , source for female condoms: pharmacy 
Men, mv762bl  , source for female condoms: private doctor   
Men, mv762bm  , source for female condoms: private mobile clinic    
Men, mv762bn  , source for female condoms: private field worker 
Men, mv762bo  , source for female condoms: other private    
Men, mv762bp  , source for female condoms: private cs   
Men, mv762bq  , source for female condoms: private cs   
Men, mv762br  , source for female condoms: private cs   
Men, mv762bs  , source for female condoms: shop 
Men, mv762bt  , source for female condoms: church   
Men, mv762bu  , source for female condoms: friends/ relatives   
Men, mv762bv  , source for female condoms: cs   
Men, mv762bw  , source for female condoms: cs   
Men, mv762bx  , source for female condoms: other    
Men, mv762bz  , source for female condoms: dk source for condom 
Men, mv763a   ,  had any std in last 12 months   
Men, mv763b   ,  had genital sore/ulcer in last 12 months    
Men, mv763c   ,  had genital discharge in last 12 months 
Men, mv763d   ,  last 12 months had cs std   
Men, mv763e   ,  last 12 months had cs std   
Men, mv763f   ,  last 12 months had cs std   
Men, mv763g   ,  last 12 months had cs std   
Men, mv766a   ,  no. other than wife had sex in last 12 months   
Men, mv766b   ,  no. had sex including wife in last 12 months    
Men, mv767a   ,  relationship with last sex partner  
Men, mv767b   ,  relationship with other sex partner (1) 
Men, mv767c   ,  relationship with other sex partner (2) 
Men, mv768a   ,  length of time knows last partner   
Men, mv768b   ,  length of time knows other partner (1)  
Men, mv768c   ,  length of time knows other partner (2)  
Men, mv769    ,   could get a condom  
Men, mv769a   ,  could get a female condom   
Men, mv770    ,   seek advice for last disease    
Men, mv770a   ,  seek advise its: govt hospital  
Men, mv770b   ,  seek advise its: health center  
Men, mv770c   ,  seek advise its: public vct center  
Men, mv770d   ,  seek advise its: cs provincial hospital 
Men, mv770e   ,  seek advise its: cs district hospital   
Men, mv770f   ,  seek advise its: cs health post 
Men, mv770g   ,  seek advise its: cs outreach    
Men, mv770h   ,  seek advise its: cs military hospital   
Men, mv770i   ,  seek advise its: cs pmtct site  
Men, mv770j   ,  seek advise its: other public   
Men, mv770k   ,  seek advise its: private hospital   
Men, mv770l   ,  seek advise its: private vct center 
Men, mv770m   ,  seek advise its: pharmacy   
Men, mv770n   ,  seek advise its: cs private clinic  
Men, mv770o   ,  seek advise its: cs private laboratory  
Men, mv770p   ,  seek advise its: cs std clinic  
Men, mv770q   ,  seek advise its: cs ngo clinic  
Men, mv770r   ,  seek advise its: cs private 
Men, mv770s   ,  seek advise its: other private  
Men, mv770t   ,  seek advise its: shop   
Men, mv770u   ,  seek advise its: cs other   
Men, mv770v   ,  seek advise its: cs other   
Men, mv770w   ,  seek advise its: cs other   
Men, mv770x   ,  seek advise other   
Men, mv774a   ,  aids transmit. during pregnancy 
Men, mv774b   ,  aids transmit. during delivery  
Men, mv774c   ,  aids transmit. by breastfeeding 
Men, mv775    ,   knows someone who has or died of aids   
Men, mv777    ,   allowed to keep aids infection secret   
Men, mv778    ,   willing to care for relative with aids  
Men, mv779    ,   person with aids allowed to continue teaching   
Men, mv780    ,   should children be taught about condoms 
Men, mv781    ,   ever been tested for aids   
Men, mv783    ,   know a place to get aids test   
Men, mv784a   ,  place for aids test: govt hospital  
Men, mv784b   ,  place for aids test:health center   
Men, mv784c   ,  place for aids test: public vct center  
Men, mv784d   ,  place for aids test: cs provincial hospital 
Men, mv784e   ,  place for aids test: cs district hospital   
Men, mv784f   ,  place for aids test: cs health post 
Men, mv784g   ,  place for aids test: cs outreach    
Men, mv784h   ,  place for aids test: cs military hospital   
Men, mv784i   ,  place for aids test: cs pmtct site  
Men, mv784j   ,  place for aids test: other public   
Men, mv784k   ,  place for aids test: private hospital   
Men, mv784l   ,  place for aids test: private vct center 
Men, mv784m   ,  place for aids test: pharmacy   
Men, mv784n   ,  place for aids test: mobile clinic  
Men, mv784o   ,  place for aids test: fieldworker    
Men, mv784p   ,  place for aids test: cs private clinic  
Men, mv784q   ,  place for aids test: cs private laboratory  
Men, mv784r   ,  place for aids test: cs private 
Men, mv784s   ,  place for aids test: other private  
Men, mv784t   ,  place for aids test: cs other   
Men, mv784u   ,  place for aids test: cs other   
Men, mv784v   ,  place for aids test: cs other   
Men, mv784x   ,  place for aids test: other  
Men, mv785    ,   heard about other stds  
Men, mv793    ,   paid for sex last 12 months 
Men, mv793a   ,  condom used when paid for sex last 12 months    
Men, mv793b   ,  condom used every time paid for sex last 12 months  
Men, mv820    ,   condom used at first sexual intercourse 
Men, mv822    ,   wife justified to ask husband to use condom if he has std   
Men, mv823    ,   can get aids by witchcraft or supernatural means    
Men, mv824    ,   drugs to avoid aids transmission to baby during pregnancy   
Men, mv825    ,   would buy vegetables from vendor with aids  
Men, mv826    ,   when was last time you were tested  
Men, mv827    ,   last test was on your own/ offered or required  
Men, mv828    ,   did get results for last test   
Men, mv829    ,   place were last aids test was taken 
Men, mv832b   ,  time since last intercourse with next to last sexual partner    
Men, mv832c   ,  time since last intercourse with second to last sexual partn    
Men, mv833a   ,  used condom every time had sex with last sex partner (last 1    
Men, mv833b   ,  used condom every time had sex with next to last sex partner    
Men, mv833c   ,  used condom every time had sex with second to last sex partn    
Men, mv835a   ,  alcohol consumption last time had sex   
Men, mv835b   ,  alcohol consumption next to last time had sex   
Men, mv835c   ,  alcohol consumption second to last time had sex 
Men, mv836    ,   total lifetime number of sexual partners    
Men, mv837    ,   heard of drugs to help infected people to live longer   
Men, mv844    ,   knows someone denied health services because of aids last 12    
Men, mv845    ,   knows someone denied social events because of aids last 12 m    
Men, mv846    ,   knows someone verbally abused because of aids last 12 months    
Men, mv847    ,   people with aids should be ashamed of themselves    
Men, mv848    ,   people with aids should be blamed for bringing disease to co    
Men, mv849    ,   children 12-14 should wait for sex until marriage   
Men, mv851a   ,  young men should wait for sex until marriage    
Men, mv851b   ,  most young men wait for sex until marriage  
Men, mv851c   ,  unmarried sexually active men should only having sex with on    
Men, mv851d   ,  most unmarried sexually active men have only one partner    
Men, mv851e   ,  married men should only have sex with their wives   
Men, mv851f   ,  most married men only have sex with their wives 
Men, mv851g   ,  young women should wait for sex until marriage  
Men, mv851h   ,  most young women wait for sex until marriage    
Men, mv851i   ,  unmarried sexually active women should have only one partner    
Men, mv851j   ,  most unmarried sexually active women have only one partner  
Men, mv851k   ,  married women should only have sex with their husbands  
Men, mv851l   ,  most married women only have sex with their husbands    
Men, mg100    ,   ever heard of female circumcision   
Men, mg101    ,   ever heard of genital cutting (probed)  
Men, mg117a   ,  circumcicion benefits: celanliness/hygiene  
Men, mg117b   ,  circumcicion benefits: social acceptance    
Men, mg117c   ,  circumcicion benefits: better marriage prospects    
Men, mg117d   ,  circumcicion benefits: virginity/prevent premarital sex 
Men, mg117e   ,  circumcicion benefits: more sexual pleasure for men 
Men, mg117f   ,  circumcicion benefits: religious approval   
Men, mg117g   ,  circumcicion benefits: cs   
Men, mg117h   ,  circumcicion benefits: cs   
Men, mg117i   ,  circumcicion benefits: cs   
Men, mg117j   ,  circumcicion benefits: cs   
Men, mg117x   ,  circumcicion benefits: other    
Men, mg117y   ,  circumcicion benefits: no benefit   
Men, mg118    ,   circumcision is required by religion    
Men, mg119    ,   circumcision should continue or be stopped  
Men, smdomain ,    domain  
Men, smregion ,    province of residence   
Men, smdist   ,  district    
Men, smcom    ,   commune 
Men, smvill   ,  village 
Men, sm105    ,   highest educational level   
Men, sm106    ,   highest grade at that level 
Men, sm116    ,   activity last 12 months 
Men, sm120    ,   away for more than one month total  
Men, sm215    ,   primary care giver of any children  
Men, sm216    ,   primary care giver of any children under 18 years   
Men, sm217    ,   arrangements for child care if respondent becomes ill or inc    
Men, sm315    ,   age of 1st sex partner  
Men, sm317    ,   first sexual partner younger/ the same age or older 
Men, sm320a   ,  reason used condom  
Men, sm320b   ,  reason used condom  
Men, sm320c   ,  reason used condom  
Men, sm321a   ,  condom used every time with this partner in last 12 months  
Men, sm321b   ,  condom used every time with this partner in last 12 months  
Men, sm321c   ,  condom used every time with this partner in last 12 months  
Men, sm328    ,   heard of men having sex with men    
Men, sm329    ,   have had sex with a man 
Men, sm336    ,   first intercourse against respondent's will 
Men, sm337    ,   first intercourse physically forced 
Men, sm338    ,   any intercourse against respondent's will in last 12 months 
Men, sm339    ,   any intercourse physically forced in last 12 months 
Men, sm340    ,   knows source of condoms 
Men, sm341a   ,  source of condoms   
Men, sm341b   ,  source of condoms   
Men, sm341c   ,  source of condoms   
Men, sm341d   ,  source of condoms   
Men, sm341e   ,  source of condoms   
Men, sm341f   ,  source of condoms   
Men, sm341g   ,  source of condoms   
Men, sm341h   ,  source of condoms   
Men, sm341i   ,  source of condoms   
Men, sm341j   ,  source of condoms   
Men, sm341k   ,  source of condoms   
Men, sm341l   ,  source of condoms   
Men, sm341m   ,  source of condoms   
Men, sm341n   ,  source of condoms   
Men, sm341x   ,  source of condoms   
Men, sm408    ,   ways to avoid hiv   
Men, sm409a   ,  means of avoiding hiv   
Men, sm409b   ,  means of avoiding hiv   
Men, sm409c   ,  means of avoiding hiv   
Men, sm409d   ,  means of avoiding hiv   
Men, sm409e   ,  means of avoiding hiv   
Men, sm409f   ,  means of avoiding hiv   
Men, sm409g   ,  means of avoiding hiv   
Men, sm409h   ,  means of avoiding hiv   
Men, sm409i   ,  means of avoiding hiv   
Men, sm409j   ,  means of avoiding hiv   
Men, sm409k   ,  means of avoiding hiv   
Men, sm409l   ,  means of avoiding hiv   
Men, sm409m   ,  means of avoiding hiv   
Men, sm409n   ,  means of avoiding hiv   
Men, sm409w   ,  means of avoiding hiv   
Men, sm409x   ,  means of avoiding hiv   
Men, sm409z   ,  means of avoiding hiv   
Men, sm509j   ,  seek advise its: public std clinic  
Men, sm509k   ,  seek advise its: public ngo clinic  
Men, sm515    ,   wife justified to ask husband to use condom if he has std   
Men, sm334    ,   total number of lifetime sex partners   
Men, sm322a   ,  relationship with last partner  
Men, sm322b   ,  relationship with other than partner    
Men, sm322c   ,  relationship with last partner
women, caseid    , case identification 
women, v000      , country code and phase  
women, v001      , cluster number  
women, v002      , household number    
women, v003      , respondent's line number    
women, v004      , ultimate area unit  
women, v005      , sample weight   
women, v006      , month of interview  
women, v007      , year of interview   
women, v008      , date of interview (cmc) 
women, v009      , respondent's month of birth 
women, v010      , respondent's year of birth  
women, v011      , date of birth (cmc) 
women, v012      , current age - respondent    
women, v013      , age 5-year groups   
women, v014      , completeness of information 
women, v015      , result of individual interview  
women, v016      , day of interview    
women, v017      , cmc start of calendar   
women, v018      , row of month of interview   
women, v019      , length of calendar  
women, v019a     , number of calendar columns  
women, v020      , ever-married sample 
women, v021      , primary sampling unit   
women, v022      , sample stratum number   
women, v023      , sample domain   
women, v024      , region  
women, v025      , type of place of residence  
women, v026      , de facto place of residence 
women, v027      , number of visits    
women, v028      , interviewer identification  
women, v029      , keyer identification    
women, v030      , field supervisor    
women, v031      , field editor    
women, v032      , office editor   
women, v033      , ultimate area selection prob.   
women, v034      , line number of husband  
women, v040      , cluster altitude in meters  
women, v042      , household selection for hemoglobin  
women, v043      , selection for women's status module 
women, v044      , selection for domestic violence module  
women, v101      , region  
women, v102      , type of place of residence  
women, v103      , childhood place of residence    
women, v104      , years lived in place of res.    
women, v105      , type of place of previous res.  
women, v106      , highest educational level   
women, v107      , highest year of education   
women, v113      , source of drinking water    
women, v115      , time to get to water source 
women, v116      , type of toilet facility 
women, v119      , has electricity 
women, v120      , has radio   
women, v121      , has television  
women, v122      , has refrigerator    
women, v123      , has bicycle 
women, v124      , has motorcycle/scooter  
women, v125      , has car/truck   
women, v127      , main floor material 
women, v128      , main wall material  
women, v129      , main roof material  
women, v130      , religion    
women, v131      , ethnicity   
women, v133      , education in single years   
women, v134      , de facto place of residence 
women, v135      , usual resident or visitor   
women, v136      , number of household members 
women, v137      , number of children 5 and under  
women, v138      , number of eligible women in hh  
women, v139      , de jure region of residence 
women, v140      , de jure type of place of res.   
women, v141      , de jure place of residence  
women, v149      , educational attainment  
women, v150      , relationship to household head  
women, v151      , sex of household head   
women, v152      , age of household head   
women, v153      , has telephone   
women, awfactt   , all woman factor - total    
women, awfactu   , all woman factor - urban/rural  
women, awfactr   , all woman factor - regional 
women, awfacte   , all woman factor - educational  
women, awfactw   , all woman factor - wealth index 
women, v155      , literacy    
women, v156      , ever participated in a literacy program outside of primary  
women, v157      , frequency of reading newpaper or magazine   
women, v158      , frequency of listening to radio 
women, v159      , frequency of watching television    
women, v160      , toilet facilities shared    
women, v161      , type of cooking fuel    
women, v166      , results of salt iodine test 
women, v167      , number of trips in last 12 months   
women, v168      , away for more than one month in last 12 months  
women, v190      , wealth index    
women, v191      , wealth index factor score (5 decimals)  
women, ml101     , type of bednet(s) slept under last night    
women, bidx_01   , birth column number 
women, bidx_02   , birth column number 
women, bidx_03   , birth column number 
women, bidx_04   , birth column number 
women, bidx_05   , birth column number 
women, bidx_06   , birth column number 
women, bidx_07   , birth column number 
women, bidx_08   , birth column number 
women, bidx_09   , birth column number 
women, bidx_10   , birth column number 
women, bidx_11   , birth column number 
women, bidx_12   , birth column number 
women, bidx_13   , birth column number 
women, bidx_14   , birth column number 
women, bidx_15   , birth column number 
women, bidx_16   , birth column number 
women, bidx_17   , birth column number 
women, bidx_18   , birth column number 
women, bidx_19   , birth column number 
women, bidx_20   , birth column number 
women, bord_01   , birth order number  
women, bord_02   , birth order number  
