"IndicatorId","Label","MeasurementType","Denominator"
"PR_IDLC_M_ID6","Ideal number of children [Men]: 6+","Percent","Men interviewed"
"PR_IDLC_M_IDN","Ideal number of children [Men]: Non-numeric response","Percent","Men interviewed"
"PR_IDLC_M_TOT","Men: Total","Percent","Men interviewed"
"PR_IDLC_M_NUM","Number of men","Number","Men interviewed"
"PR_IDLC_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"PR_IDLC_M_MNA","Mean ideal number of children for all men","Mean","All men 15-49 who gave numeric responses"
"PR_IDLC_M_NMA","Number of men with a numeric response for ideal number of children","Number","All men 15-49 who gave numeric responses"
"PR_IDLC_M_UNA","Number of men with a numeric response for ideal number of children (unweighted)","Number","All men 15-49 who gave numeric responses"
"PR_IDLC_M_MNM","Mean ideal number of children for currently married men","Mean","Currently married men 15-49 who gave numeric responses"
"PR_IDLC_M_NMM","Number of married men with a numeric response for ideal number of children","Number","Currently married men 15-49 who gave numeric responses"
"PR_IDLC_M_UNM","Number of married men with a numeric response for ideal number of children (unweighted)","Number","Currently married men 15-49 who gave numeric responses"
"PR_IDLC_M_M5A","Mean ideal number of children for all men 15-54(59)","Mean","All men 15-54[59] who gave numeric responses"
"PR_IDLC_M_N5A","Number of men age 15-54(59) with a numeric response for ideal number of children","Number","All men 15-54[59] who gave numeric responses"
"PR_IDLC_M_U5A","Number of men age 15-54(59) with a numeric response for ideal number of children (unweighted)","Number","All men 15-54[59] who gave numeric responses"
"PR_IDLC_M_M5M","Mean ideal number of children for currently married men 15-54(59)","Mean","Currently married men 15-54[59] who gave numeric responses"
"PR_IDLC_M_N5M","Number of married men age 15-54(59) with a numeric response for ideal number of children","Number","Currently married men 15-54[59] who gave numeric responses"
"PR_IDLC_M_U5M","Number of married men age 15-54(59) with a numeric response for ideal number of children (unweighted)","Number","Currently married men 15-54[59] who gave numeric responses"
"PR_MIDL_W_MNA","Mean ideal number of children for all women","Mean","All women who gave numeric responses"
"PR_MIDL_W_NUM","Number of women","Number","All women who gave numeric responses"
"PR_MIDL_W_UNW","Number of women (unweighted)","Number","All women who gave numeric responses"
"PR_PLST_W_THN","Percentage of births wanted then","Percent","Births to women in the five years preceding the survey (including current pregnancies)"
"PR_PLST_W_LAT","Percentage of births wanted later","Percent","Births to women in the five years preceding the survey (including current pregnancies)"
"PR_PLST_W_NOM","Percentage of births not wanted at all","Percent","Births to women in the five years preceding the survey (including current pregnancies)"
"PR_PLST_W_MIS","Percentage of births unsure about wantedness/with missing information on wantedness of birth","Percent","Births to women in the five years preceding the survey (including current pregnancies)"
"PR_PLST_W_TOT","Percentage of births: Total","Percent","Births to women in the five years preceding the survey (including current pregnancies)"
"PR_PLST_W_NUM","Number of births in the last five years","Number","Births to women in the five years preceding the survey (including current pregnancies)"
"PR_PLST_W_UNW","Number of births in the last five years (unweighted)","Number","Births to women in the five years preceding the survey (including current pregnancies)"
"PR_WTFR_W_WFR","Total wanted fertility rate","Rate","Per thousand women years exposed in the period 1-36 months prior to interview"
"FP_KMTA_W_ANY","Knowledge of any method of contraception (all women)","Percent","All women"
"FP_KMTA_W_MOD","Knowledge of any modern method of contraception (all women)","Percent","All women"
"FP_KMTA_W_FST","Knowledge of female sterilization (all women)","Percent","All women"
"FP_KMTA_W_MST","Knowledge of male sterilization (all women)","Percent","All women"
"FP_KMTA_W_PIL","Knowledge of pill (all women)","Percent","All women"
"FP_KMTA_W_IUD","Knowledge of IUD (all women)","Percent","All women"
"FP_KMTA_W_INJ","Knowledge of injections (all women)","Percent","All women"
"FP_KMTA_W_DFJ","Knowledge of diaphragm, foam or jelly (all women)","Percent","All women"
"FP_KMTA_W_IMP","Knowledge of implants (all women)","Percent","All women"
"FP_KMTA_W_MCN","Knowledge of condom (all women)","Percent","All women"
"FP_KMTA_W_FCN","Knowledge of female condom (all women)","Percent","All women"
"FP_KMTA_W_LAM","Knowledge of lactational amenorrhea method (all women)","Percent","All women"
"FP_KMTA_W_EMC","Knowledge of emergency contraception (all women)","Percent","All women"
"FP_KMTA_W_DIA","Knowledge of diaphragm (all women)","Percent","All women"
"FP_KMTA_W_FOM","Knowledge of foam or jelly (all women)","Percent","All women"
"FP_KMTA_W_MPL","Knowledge of monthly pill (all women)","Percent","All women"
"FP_KMTA_W_STD","Knowledge of standard days method (all women)","Percent","All women"
"FP_KMTA_W_OMD","Knowledge of other modern methods (all women)","Percent","All women"
"FP_KMTA_W_TRA","Knowledge of any traditional method (all women)","Percent","All women"
"FP_KMTA_W_RHY","Knowledge of periodic abstinence (all women)","Percent","All women"
"FP_KMTA_W_WTH","Knowledge of withdrawal (all women)","Percent","All women"
"FP_KMTA_W_BRF","Knowledge of breastfeeding (all women)","Percent","All women"
"FP_KMTA_W_OTR","Knowledge of other traditional methods (all women)","Percent","All women"
"FP_KMTA_W_FLK","Knowledge of any folk method (all women)","Percent","All women"
"FP_KMTA_W_TFK","Knowledge of any traditional or folk method (all women)","Percent","All women"
"FP_KMTA_W_MNM","Mean number of methods known","Mean","All women"
"FP_KMTA_W_NUM","Number of women","Number","All women"
"FP_KMTA_W_UNW","Number of women (unweighted)","Number","All women"
"FP_KMTA_M_ANY","Knowledge of any method of contraception (all men)","Percent","All men"
"FP_KMTA_M_MOD","Knowledge of any modern method of contraception (all men)","Percent","All men"
"FP_KMTA_M_FST","Knowledge of female sterilization (all men)","Percent","All men"
"FP_KMTA_M_MST","Knowledge of male sterilization (all men)","Percent","All men"
"FP_KMTA_M_PIL","Knowledge of pill (all men)","Percent","All men"
"FP_KMTA_M_IUD","Knowledge of IUD (all men)","Percent","All men"
"FP_KMTA_M_INJ","Knowledge of injections (all men)","Percent","All men"
"FP_KMTA_M_DFJ","Knowledge of diaphragm, foam or jelly (all men)","Percent","All men"
"FP_KMTA_M_IMP","Knowledge of implants (all men)","Percent","All men"
"FP_KMTA_M_MCN","Knowledge of condom (all men)","Percent","All men"
"FP_KMTA_M_FCN","Knowledge of female condom (all men)","Percent","All men"
"FP_KMTA_M_LAM","Knowledge of lactational amenorrhea method (all men)","Percent","All men"
"FP_KMTA_M_EMC","Knowledge of emergency contraception (all men)","Percent","All men"
"FP_KMTA_M_DIA","Knowledge of diaphragm (all men)","Percent","All men"
"FP_KMTA_M_FOM","Knowledge of foam or jelly (all men)","Percent","All men"
"FP_KMTA_M_MPL","Knowledge of monthly pill (all men)","Percent","All men"
"FP_KMTA_M_STD","Knowledge of standard days method (all men)","Percent","All men"
"FP_KMTA_M_OMD","Knowledge of other modern methods (all men)","Percent","All men"
"FP_KMTA_M_TRA","Knowledge of any traditional method (all men)","Percent","All men"
"FP_KMTA_M_RHY","Knowledge of periodic abstinence (all men)","Percent","All men"
"FP_KMTA_M_WTH","Knowledge of withdrawal (all men)","Percent","All men"
"FP_KMTA_M_BRF","Knowledge of breastfeeding (all men)","Percent","All men"
"FP_KMTA_M_OTR","Knowledge of other traditional methods (all men)","Percent","All men"
"FP_KMTA_M_FLK","Knowledge of any folk method (all men)","Percent","All men"
"FP_KMTA_M_TFK","Knowledge of any traditional or folk method (all men)","Percent","All men"
"FP_KMTA_M_MNM","Mean number of methods known (all men)","Mean","All men"
"FP_KMTA_M_NUM","Number of men 15-49","Number","All men"
"FP_KMTA_M_UNW","Number of men 15-49 (unweighted)","Number","All men"
"FP_KMTA_M_UN5","Number of men 15-54(59) (unweighted)","Number","All men"
"FP_KMTM_W_ANY","Knowledge of any method of contraception (married women)","Percent","Currently married women"
"FP_KMTM_W_MOD","Knowledge of any modern method of contraception (married women)","Percent","Currently married women"
"FP_KMTM_W_FST","Knowledge of female sterilization (married women)","Percent","Currently married women"
"FP_KMTM_W_MST","Knowledge of male sterilization (married women)","Percent","Currently married women"
"FP_KMTM_W_PIL","Knowledge of pill (married women)","Percent","Currently married women"
"FP_KMTM_W_IUD","Knowledge of IUD (married women)","Percent","Currently married women"
"FP_KMTM_W_INJ","Knowledge of injections (married women)","Percent","Currently married women"
"FP_KMTM_W_DFJ","Knowledge of diaphragm, foam or jelly (married women)","Percent","Currently married women"
"FP_KMTM_W_IMP","Knowledge of implants (married women)","Percent","Currently married women"
"FP_KMTM_W_MCN","Knowledge of condom (married women)","Percent","Currently married women"
"FP_KMTM_W_FCN","Knowledge of female condom (married women)","Percent","Currently married women"
"FP_KMTM_W_LAM","Knowledge of lactational amenorrhea method (married women)","Percent","Currently married women"
"FP_KMTM_W_EMC","Knowledge of emergency contraception (married women)","Percent","Currently married women"
"FP_KMTM_W_DIA","Knowledge of diaphragm (married women)","Percent","Currently married women"
"FP_KMTM_W_FOM","Knowledge of foam or jelly (married women)","Percent","Currently married women"
"FP_KMTM_W_MPL","Knowledge of monthly pill (married women)","Percent","Currently married women"
"FP_KMTM_W_STD","Knowledge of standard days method (married women)","Percent","Currently married women"
"FP_KMTM_W_OMD","Knowledge of other modern methods (married women)","Percent","Currently married women"
"FP_KMTM_W_TRA","Knowledge of any traditional method (married women)","Percent","Currently married women"
"FP_KMTM_W_RHY","Knowledge of periodic abstinence (married women)","Percent","Currently married women"
"FP_KMTM_W_WTH","Knowledge of withdrawal (married women)","Percent","Currently married women"
"FP_KMTM_W_BRF","Knowledge of breastfeeding (married women)","Percent","Currently married women"
"FP_KMTM_W_OTR","Knowledge of other traditional methods (married women)","Percent","Currently married women"
"FP_KMTM_W_FLK","Knowledge of any folk method (married women)","Percent","Currently married women"
"FP_KMTM_W_TFK","Knowledge of any traditional or folk method (married women)","Percent","Currently married women"
"FP_KMTM_W_MNM","Mean number of methods known (married women)","Mean","Currently married women"
"FP_KMTM_W_NUM","Number of married women","Number","Currently married women"
"FP_KMTM_W_UNW","Number of married women (unweighted)","Number","Currently married women"
"FP_KMTM_M_ANY","Knowledge of any method of contraception (married men)","Percent","Currently married men"
"FP_KMTM_M_MOD","Knowledge of any modern method of contraception (married men)","Percent","Currently married men"
"FP_KMTM_M_FST","Knowledge of female sterilization (married men)","Percent","Currently married men"
"FP_KMTM_M_MST","Knowledge of male sterilization (married men)","Percent","Currently married men"
"FP_KMTM_M_PIL","Knowledge of pill (married men)","Percent","Currently married men"
"FP_KMTM_M_IUD","Knowledge of IUD (married men)","Percent","Currently married men"
"FP_KMTM_M_INJ","Knowledge of injections (married men)","Percent","Currently married men"
"FP_KMTM_M_DFJ","Knowledge of diaphragm, foam or jelly (married men)","Percent","Currently married men"
"FP_KMTM_M_IMP","Knowledge of implants (married men)","Percent","Currently married men"
"FP_KMTM_M_MCN","Knowledge of condom (married men)","Percent","Currently married men"
"FP_KMTM_M_FCN","Knowledge of female condom (married men)","Percent","Currently married men"
"FP_KMTM_M_LAM","Knowledge of lactational amenorrhea method (married men)","Percent","Currently married men"
"FP_KMTM_M_EMC","Knowledge of emergency contraception (married men)","Percent","Currently married men"
"FP_KMTM_M_DIA","Knowledge of diaphragm (married men)","Percent","Currently married men"
"FP_KMTM_M_FOM","Knowledge of foam or jelly (married men)","Percent","Currently married men"
"FP_KMTM_M_MPL","Knowledge of monthly pill (married men)","Percent","Currently married men"
"FP_KMTM_M_STD","Knowledge of standard days method (married men)","Percent","Currently married men"
"FP_KMTM_M_OMD","Knowledge of other modern methods (married men)","Percent","Currently married men"
"FP_KMTM_M_TRA","Knowledge of any traditional method (married men)","Percent","Currently married men"
"FP_KMTM_M_RHY","Knowledge of periodic abstinence (married men)","Percent","Currently married men"
"FP_KMTM_M_WTH","Knowledge of withdrawal (married men)","Percent","Currently married men"
"FP_KMTM_M_OTR","Knowledge of other traditional methods (married men)","Percent","Currently married men"
"FP_KMTM_M_FLK","Knowledge of any folk method (married men)","Percent","Currently married men"
"FP_KMTM_M_TFK","Knowledge of any traditional or folk method (married men)","Mean","Currently married men"
"FP_KMTM_M_MNM","Mean number of contraceptive methods known (married men age 15-49)","Mean","Currently married men"
"FP_KMTM_M_NUM","Number of married men 15-49","Number","Currently married men"
"FP_KMTM_M_UNW","Number of married men 15-49 (unweighted)","Number","Currently married men"
"FP_KMTM_M_UN5","Number of married men 15-54(59) (unweighted)","Number","Currently married men"
"FP_KMTU_W_ANY","Knowledge of any method of contraception (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_MOD","Knowledge of any modern method of contraception (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_FST","Knowledge of female sterilization (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_MST","Knowledge of male sterilization (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_PIL","Knowledge of pill (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_IUD","Knowledge of IUD (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_INJ","Knowledge of injections (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_DFJ","Knowledge of diaphragm, foam or jelly (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_IMP","Knowledge of implants (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_MCN","Knowledge of condom (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_FCN","Knowledge of female condom (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_LAM","Knowledge of lactational amenorrhea method (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_EMC","Knowledge of emergency contraception (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_DIA","Knowledge of diaphragm (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_FOM","Knowledge of foam or jelly (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_MPL","Knowledge of monthly pill (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_STD","Knowledge of standard days method (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_OMD","Knowledge of other modern methods (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_TRA","Knowledge of any traditional method (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_RHY","Knowledge of periodic abstinence (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_WTH","Knowledge of withdrawal (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_BRF","Knowledge of breastfeeding (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_KMTU_W_OTR","Knowledge of other traditional methods (sexually active unmarried women)","Percent","Sexually active unmarried women"
