QH118B       , HV246B                     , Cows/ bulls
QH118C       , HV246C                     , Horses / donkeys / mules
QH118D       , HV246D                     , Goats
QH118E       , HV246E                     , Sheep
QH118F       , HV246F                     , Chickens / poultry
QH119        , HV244                      , Own land usable for agriculture
QH120        , HV245                      , Hectares for agricultural land
QH121A       , HV206                      , Electricity
QH121B       , HV207                      , Radio
QH121C       , HV208                      , Television
QH121D       , HV221                      , Non mobile telephone
QH121E       , HV243E                     , Computer
QH121F       , HV209                      , Refrigerator
QH122A       , HV243B                     , Watch
QH122B       , HV243A                     , Mobile phone
QH122C       , HV210                      , Bicycle
QH122D       , HV211                      , Motorcycle or Scooter
QH122E       , HV243C                     , Animal-drawn cart
QH122F       , HV212                      , Car or Truck
QH122G       , HV243D                     , Boat with a motor
QH123        , HV247                      , Bank account
QH124        , HV252                      , Frequency of smoking inside house
QH125        , HV252                      , Interior walls sprayed against mosquitos in past 12 months 
QH126        , HV253A-HV253Z              , Dwelling sprayed by government/ private company or NGO
QH127        , HV227                      , Mosquito nets used while sleeping
QH128        , HML1/HML1A                 , Number of mosquito nets
QHSEC03      , RECHML                     , Mosquito Nets
QHCOL3       , HMLIDX                     , Net number
QH129        , HML3                       , Shown Net
QH130        , HML4                       , How long ago household obtain net
QH131        , HML7                       , Net brand/type
QH132        , HML8                       , Net ever soaked or dipped in chemical since obtained
QH133        , HML9                       , How long ago was net last soaked or dipped
QH134        , HML22                      , Obtained net from campaign/ antenatal or immunization visit
QH135        , HML23                      , Place where net was obtained
QH136        , HML21                      , Anyone sleep under this net last night
QH137A       , HMLA                       , Line No. of 1st person who slept under net
QH137B       , HMLB                       , Line No. of 2nd person who slept under net
QH137C       , HMLC                       , Line No. of 3rd person who slept under net
QH137D       , HMLD                       , Line No. of 4th person who slept under net
QHSEC04      , RECH2                      , Additional household characteristics
QH139        , HV230A                     , Observed place for handwashing
QH140        , HV230B                     , Observed presence of water
QH141        , HV232/HV232B/HBV232Y       , Observed presence of soap/detergent/ash/mud/sand or none
QH142        , HV213                      , Main material of floor
QH143        , HV215                      , Main roof material
QH144        , HV214                      , Main wall material
QH145        , HV234                      , Test salt for Iodine
QH146        , HV802 (RECH0)              , End of household interview
QH146H       , in HV802 (RECH0)           , End of household interview
QH146M       , in HV802 (RECH0)           , End of household interview
QBSECOVER    , RECH0                      , Biomarker identification
QBINTD       , HV807D                     , Day of biomarker interview
QBINTM       , HV807M                     , Month of biomarker interview
QBINTY       , HV807Y                     , Year of biomarker interview
QBVISITS     , HV804                      , Number of visits for biomarker questionnaire
QBINTC       , HV807C                     , Date of biomarker questionnaire (CMC)
QBINTCD      , HV807CD                    , Date of biomarker questionnaire Century Day Code (CDC)
QBSEC01      , RECH6                      , Height/Weight/Hemoglobin (children)
QB102        , HC0                        , Line number in household schedule
QB103D       , HC16                       , Day of birth
QB103M       , imputed HC30 used          , Month of birth
QB103Y       , imputed HC31 used          , Year of birth
QB104        , not used                   , Child born in 2010-2015 or later
QB105        , HC2/in HC13                , Weight in kilograms
QB105        , in HC13                    , Result of weight measurement
QB106        , HC3/in HC13                , Height in centimeters
QB106        , in HC13                    , Result of height measurement
QB107        , HC15                       , Lying or standing
QB108        , HC21                       , Fieldworker number (measurer)
QB109        , not used                   , Born in month of interview or previous 5 months
QB110        , HC51                       , Line no. of parent/caretaker
QB112        , HC52                       , Read consent statement for anemia test
QB113        , HC53/in HC55               , Hemoglobin level (g/dl)
QB113        , in HC55                    , Result of hemoglobin measurement
QCCMC        , HC32                       , Child's CMC of birth
QCCDC        , HC32A                      , Child's Century Day Code (CDC) or birth
QCFLG        , HC33                       , Date flag for child's date of birth
QCDBR        , HC32A                      , Imputed day of birth
QCMBR        , HC30                       , Imputed month of birth
QCYBR        , HC31                       , Child's year of birth
QCPC1        , HC4                        , Ht/A Percentile
QCSD1        , HC5                        , Ht/A Standard deviations
QCRM1        , HC6                        , Ht/A Percent of ref. median
QCPC2        , HC7                        , Wt/A Percentile
QCSD2        , HC8                        , Wt/A Standard deviations
QCRM2        , HC9                        , Wt/A Percent of ref. median
QCPC3        , HC10                       , Wt/Ht Percentile
QCSD3        , HC11                       , Wt/Ht Standard deviations
QCRM3        , HC12                       , Wt/Ht Percent of ref. median
QCMLN        , HC60                       , Mother's line number from individual questionnaire
QCBO         , HC64                       , Birth order of child
QCBI         , HC63                       , Birth interval
QCED1        , HC61                       , Mother's highest educational level
QCED2        , HC62                       , Mother's highest grade at that level
QCED3        , HC68                       , Mother's highest educ. level (CS for prel. & final report)
QCSD4        , HC70                       , Ht/A Standard deviations (according to WHO)
QCSD5        , HC71                       , Wt/A Standard deviations (according to WHO)
QCSD6        , HC72                       , Wt/Ht Standard deviations (according to WHO)
QCSD7        , HC73                       , BMI Standard deviations (according to WHO)
QBSEC02      , RECH5                      , Height/Weight/Hemoglobin (women)
QB202        , HA0                        , Line number in household schedule
QB203        , HA50                       , Under age 18
QB204        , HA60                       , Marital status
QB205        , HA2/in HA13                , Weight in kilograms
QB205        , in HA13                    , Result of weight measurement
QB206        , HA3/in HA13                , Height in centimeters
QB206        , in HA13                    , Result of height measurement
QB207        , HA21                       , Fieldworker number
QB211        , in HA52                    , Consent from respondent (Anemia)
QB211A       , HA54                       , Currently pregnant
QB213        , in HA61                    , Consent from respondent (HIV)
QB213A       , in HA70                    , Fieldworker number HIV test
QB215        , HA64                       , Consent for additional tests from respondent
QB216        , HA51                       , Line no. of parent/caretaker
QB218        , in HA52                    , Consent statement from parent/caretaker (Anemia)
QB220        , in HA52                    , Consent statement from minor respondent (Anemia)
QB220A       , HA54                       , Currently pregnant
QB222        , in HA61                    , Consent statement parent/caretaker (HIV)
QB222A       , in HA70                    , Fieldworker number HIV test
QB224        , in HA61                    , Consent statement minor respondent (HIV)
QB226        , in HA64                    , Consent statement parent/caretaker (additional tests)
QB228        , in HA64                    , Consent statement minor respondent (additional tests)
QB231        , HA53/in HA55               , Hemoglobin level (g/dl)
QB231        , HA55                       , Result of measuring (Hemoglobin)
QB232        , HA62/in HA63               , Blood sample ID number
QB232        , HA63                       , Result of measuring (HIV)
QWCMC        , HA32                       , CMC of birth of woman
QWFLG        , HA33                       , Date flag for woman's date of birth
QWMBR        , available from HA32        , Imputed month of birth
QWYBR        , available from HA32        , Woman's year of birth
QWSMK        , HA35                       , Respondent smoke practices
QWPC1        , HA4                        , Ht/A Percentile (resp.)
QWSD1        , HA5                        , Ht/A Standard deviations (resp.)
QWRM1        , HA6                        , Ht/A Percent ref. median (resp.)
QWRM3        , HA12                       , Wt/Ht Percent ref. median (DHS)
QWRM4        , HA12A                      , Wt/Ht Percent ref. median (Foggarty)
QWRM5        , HA12B                      , Wt/Ht Percent ref. median (WHO)
QWSD3        , HA11                       , Wt/Ht Std deviations(resp) DHS
QWBM         , HA40                       , Body mass index for respondent
QWRI         , HA41                       , Rohrer's index for respondent
QWRESI       , HA65                       , Result of individual interview
QWED1        , HA66                       , Woman's highest educational level
QWED2        , HA67                       , Woman's highest year of education
QWED3        , HA68                       , Highest educ. level (CS for prel. & final report)
QWHIVWGT     , HA69                       , HIV weight (6 decimals)
QBSEC03      , RECHMA                     , Height/Weight/Hemoglobin (men)
QB302        , HB0                        , Line number in household schedule
QB303        , HB50                       , Under age 18
QB304        , HB60                       , Marital status
QB305        , HB2/in HB13                , Weight in kilograms
QB305        , HB13                       , Result of weight measuring
QB306        , HB3/in HB13                , Height in centimeters
QB306        , HB13                       , Result of height measuring
QB307        , HB21                       , Fieldworker number for Height and weight
QB311        , in HB52                    , Consent statement adult respondent (Anemia)
QB313        , HB61                       , Consent statement adult respondent (HIV)
QB313A       , in HB70                    , Fieldworker number for HIV
QB315        , in HB64                    , Consent statement adult respondent (Additional tests)
QB316        , HB51                       , Line no. of parent/caretaker
QB318        , in HB52                    , Consent statement adult/caretaker (Anemia)
QB320        , in HB52                    , Consent statement to minor respondent (Anemia)
QB322        , in HB61                    , Consent statement adult/caretaker (HIV)
QB322A       , in HB70                    , Fieldworker number for HIV
QB324        , in HB61                    , Consent statement to minor respondent (HIV)
QB326        , in HB64                    , Consent statement adult/caretaker (Additional tests)
QB328        , in HB64                    , Consent statement minor adult (Additional tests)
QB331        , HB53/in HB55               , Hemoglobin level (g/dl)
QB331        , HB55                       , Result of measuring (Hemoglobin)
QB332        , HB62/in HB63               , Blood sample ID number
QB332        , HB63                       , Result of measuring (HIV)
QMCMC        , HB32                       , CMC of birth of man
QMFLG        , HB33                       , Date flag for man's date of birth
QMMBR        , available from HB32        , Imputed month of birth
QMYBR        , available from HB32        , Man's year of birth
QMSMK        , HB35                       , Respondent smoke practices
QMPC1        , HB4                        , Ht/A Percentile (resp.)
QMSD1        , HB5                        , Ht/A Standard deviations (resp)
QMRM1        , HB6                        , Ht/A Percent ref. median (resp)
QMRM3        , HB12                       , Wt/Ht Percent ref. median (DHS)
QMRM4        , HB12A                      , Wt/Ht Percent ref. median (Foggarty)
QMRM5        , HB12B                      , Wt/Ht Percent ref. median (WHO)
QMSD3        , HB11                       , Wt/Ht Std deviations (resp) DHS
QMBM         , HB40                       , Body mass index for respondent
QMRI         , HB41                       , Rohrer's index for respondent
QMRESI       , HB65                       , Result of individual interview
QMED1        , HB66                       , Man's highest educational level
QMED2        , HB67                       , Man's highest year of education
QMED3        , HB68                       , Highest educ. level (CS for prel. & final report)
QMHIVWGT     , HB69                       , HIV weight (6 decimals)
INDIVIDUAL   , WOMAN                      , Individual woman’s questionnaire
QSECOVER     , REC01                      , Individual Identification
QCLUSTER     , V001                       , Cluster number
QNUMBER      , V002                       , Household number
QREGION      , V024/V101                  , Region of residence
QLOCAL       , V026                       , City\Town\Countryside
QLINE        , V003                       , Line number of woman
QINTD        , V016                       , Day of interview
QINTM        , V006                       , Month of interview
QINTY        , V007                       , Year of interview
QINTNUM      , V028                       , Interviewer number
QRESULT      , V015                       , Result of individual interview
QVISITS      , V027                       , Total number of visits
QLANGQ       , V045A                      , Language of questionnaire
QLANGI       , V045B                      , Language of interview
QLANGR       , V045C                      , Language of respondent
QTRANS       , V046                       , Translator used
QSUPERV      , V030                       , Supervisor number
QFEDIT       , V031                       , Field editor number
QOEDIT       , V032                       , Office editor number
QKEYER       , V806 (REC81)               , Data entry clerk
QINTC        , V008                       , Date of interview (CMC)
QINTCD       , V008A                      , Date of interview Century Day Code (CMC)
QWEIGHT      , V005                       , Sample weight (6 decimals)
QTYPE        , V025                       , Type of place of residence
QDWEIGHT     , D005 (RECDV)               , Domestic violence weight (6 decimals)
QWEIGHT      , V005                       , Sample weight (6 decimals)
QTYPE        , V025                       , Type of place of residence
QDWEIGHT     , D005 (RECDV)               , Domestic violence weight (6 decimals)
QWSEC01      , REC11                      , Respondent's Background
Q101H        , in V801-REC81              , Start of interview (hour)
Q101M        , in V801-REC81              , Start of interview (minutes)
Q102         , V104                       , Time lived in current place of residence
Q103         , V105                       , Previous place of residence
Q104         , V105A                      , Province/state lived before moved to place of interview
Q105M        , V109                       , Month of birth
Q105Y        , V010                       , Year of birth
Q106         , V012                       , Current age of
Q107         , in V106                    , Ever attended school
Q108         , in V106                    , Highest educational level
Q109         , V107                       , Highest grade at that level
Q111         , V155                       , Sentence read
Q113         , V157                       , Reads newspaper or magazine
Q114         , V158                       , Listens to radio
Q115         , V159                       , Watches television
Q116         , V169A                      , Own a mobile telephone
Q117         , V169B                      , Use mobile telephone for financial transactions
Q118         , V170                       , Have a bank or other financial account
Q119         , in V171A                   , Have ever used the internet
Q120         , in V171A                   , Have used the internet last 12 months
Q121         , V171B                      , How often used internet the last month
Q122         , V130                       , Religion
Q123         , V131                       , Ethnicity
Q124         , V167                       , Times away from home for one or more nights in last 12 months
Q125         , V168                       , Away for more than one month in last 12 months
Q105C        , V011                       , Date of birth (CMC)
Q105F        , V014                       , Date flag for A105C
QWFTOTAL     , AWFACTT                    , All woman factor - total
QWFTYPE      , AWFACTU                    , All woman factor - urban/rural
QWFREG       , AWFACTR                    , All woman factor - regional
QWFEDUC      , AWFACTE                    , All woman factor - educational
QWFWLTH      , AWFACTW                    , All woman factor - wealth index
QWSEC2A      , REC22                      , Reproduction
Q201         , not used                   , Ever given birth
Q202         , not used                   , Sons or daughters living with
Q203A        , V202                       , Sons at home
Q203B        , V203                       , Daughters at home
Q204         , not used                   , Sons or daughters live away
Q205A        , V204                       , Sons living elsewhere
Q205B        , V205                       , Daughters living elsewhere
Q206         , not used                   , Sons or daughters who died
Q207A        , V206                       , Boys who died
Q207B        , V207                       , Girls who died
Q208         , V208                       , Total children ever born
QWSEC2B      , REC21                      , Birth History
Q212         , BIDX                       , Line number of child
Q213         , B4                         , Sex of child
Q214         , B0                         , Single or Multiple Birth
Q215D        , B17                        , Day of birth
Q215M        , B1                         , Month of birth
Q215Y        , B2                         , Year of birth
Q216         , B5                         , Child is still alive
Q217         , B8                         , Current age of child
Q218         , B9                         , Child living with respondent
Q219         , B16                        , Line number in the household
Q220U        , in B6                      , Age at death (unit)
Q220N        , in B6                      , Age at death (number)
Q221         , B15                        , Live birth between births
Q215C        , B3                         , Date of birth of child (CMC)
Q215CD       , B18                        , Date of birth of child Century Day Code (CDC)
Q215F        , B10                        , Date flag for Q216C
Q220C        , B7                         , Age at death months (imputed)
Q220F        , B13                        , Date flag for Q220C
QWSEC2C      , REC82                      , Calendar
QCAL         , VCAL                       , Calendar
QWSEC2D      , REC22                      , Reproduction (continued)
Q222         , V237                       , Birth between last & interview
Q224         , V208-5 years/V238-3 years  , Births since January 200?
Q226         , V213                       , Currently pregnant
Q227         , V214                       , Duration of current pregnancy
Q228         , in V225                    , Wanted pregnancy at that time
Q229         , in V225                    , Wanted baby later or not at all
Q230         , V228                       , Miscarriage/abortion/or stillbirth
Q231M        , V229                       , Month pregnancy ended
Q231Y        , V230                       , Year pregnancy ended
Q234         , V233                       , Months pregnant when pregnancy ended
Q235         , V234                       , Other such pregnancies
Q237         , V239                       , Terminated pregnancy before 200?
Q238M        , V240                       , Month of last non-live birth pregnancy before 200?
Q238Y        , V241                       , Year of last non-live birth pregnancy before 200?
Q239U        , in V215                    , Time since last period (unit)
Q239N        , in V215                    , Time since last period (number)
Q240         , in V217                    , Knowledge of fertile period
Q241         , in V217                    , When is the fertile period
Q242         , V244                       , After birth woman can get pregnant before period returns
Q226C        , from V214                  , Date of conception (CMC)
Q227F        , V223                       , Date flag for Q226C
Q238F        , V227                       , Flag for A238
QWSEC3A      , REC31                      , Contraceptive Knowledge & Use
QWSEC31_GRP  , REC31_GROUP                , Contraception listing
Q301N        , V304A                      , Contraceptive method
Q301         , V304                       , Heard of method
QWSEC3B      , REC32                      , Contraceptive Practice
Q303         , in V312                    , Currently using any method
Q304         , in V312/V307 (REC31)       , Current contraceptive method
Q305         , V323                       , Brand name of pills reported
Q306         , V323A                      , Brand name of condoms reported
Q307         , V326/V3A07                 , Where sterilization took place
Q308M        , in V315                    , Month sterilization was performed
Q308Y        , in V316                    , Year sterilization was performed
Q309M        , in V315                    , Month started using current method
Q309Y        , in V316                    , Year started using current method
Q314         , V302A                      , Ever used a contraceptive method
Q315         , filter V312                , Current contraceptive method (filter)
Q316         , in V3A07                   , Source for current method when started
Q317         , filter V312                , Current contraceptive method
Q318         , in V3A02                   , Told about side effects
Q319         , in V3A02                   , Told about side effects when sterilized
Q320         , V3A03                      , Told about side effects by health or FP worker
Q321         , V3A04                      , Told how to deal with side effects
Q322         , V3A05                      , Told about other FP methods
Q323         , V3A06                      , Told about other FP methods by health or FP worker
Q324         , filter V312                , Current contraceptive method (filter)
Q325         , in V326                    , Last source of FP
Q326         , in V3A00A-V3A00Z           , Know source for FP
Q327         , V393                       , Visited by FP worker in last 12 months
Q329         , V394                       , Visited health facility in last 12 months
Q330         , V395                       , At health facility/told of FP
Q304N        , V312                       , Current contraceptive method (major method)
Q309C        , V317                       , Date started using current method (CMC)
Q309F        , V318                       , Date flag for A309C
QWSEC04      , REC41                      , Pregnancy and Postnatal Care
Q403         , MIDX/BIDX                  , Line number
Q405         , inM10                      , Wanted to get pregnant
Q406         , inM10                      , Time wanted pregnancy
Q407U        , inM11                      , Time would have waited (unit)
Q407N        , inM11                      , Time would have waited (number) Q406N
Q408         , in M2A-M2Y                 , Received antenatal care for pregnancy
Q409         , in M2A-M2Y                 , Provider of antenatal care for pregnancy
Q410         , M57A-M57X                  , Where antenatal care took place
Q411         , M13                        , Months pregnant at first antenatal visit
Q412         , M14                        , Antenatal visits during pregnancy
Q413A        , M42C                       , Antenatal care (Blood pressure)
Q413B        , M42D                       , Antenatal care (Urine sample)
Q413C        , M42E                       , Antenatal care (Blood sample)
Q414         , inM1                       , Tetanus injection during pregnancy
Q415         , inM1                       , Number of tetanus injections
Q417         , inM1A                      , Tetanus injections before pregnancy
Q418         , inM1A                      , Number of tetanus injections before pregnancy
Q419         , M1D                        , Years ago received last tetanus injection before pregnancy
Q420         , M45                        , Given iron tablets during pregnancy
Q421         , M46                        , Number of days took iron tablets
Q422         , M60                        , Drugs for intestinal parasites
Q423         , M49A                       , During pregnancy took SP/Fansidar for malaria
Q424         , ML1 (RECML)                , How many times took SP/Fansidar for malaria
Q425         , ML2 (RECML)                , Took SP/Fansidar during antenatal visit (Malaria)
Q426         , M18                        , Size of child at birth
Q427         , M19A                       , Weighed at birth
Q428U        , inM19                      , Weight at birth (unit)
Q428N        , inM19                      , Weight in Kilograms (number)
Q429         , M3A-M3N                    , Assistance at delivery
Q430         , M15                        , Place of delivery
Q431U        , inM61                      , Time spent at place of delivery (unit)
Q431N        , inM61                      , Time spent at place of delivery (number)
Q432         , M17                        , Delivery by caesarean section
Q433         , M17A                       , Timing of decision on caesarean section
Q434         , in M77                     , Child was put on chest immediately after birth
Q434A        , in M77                     , Child skin touched respondent bare skin
Q435         , M62                        , Postnatal check before discharge
Q436U        , in M63                     , Time first postnatal check respondent after delivery in facility (unit)
Q436N        , in M63                     , Time first postnatal check respondent after delivery in facility (number)
Q437         , M64                        , Person performing 1st postnatal checkup at place of delivery
Q438         , M74                        , First postnatal check on child in facility
Q439U        , in M75                     , Time first postnatal check on child in facility (unit)
Q439N        , in M75                     , Time first postnatal check on child in facility (number)
Q440         , M76                        , Person giving postnatal care to child in facility
Q441         , in M66                     , Checkup after discharge from place of delivery
Q442U        , in M67                     , Time checkup on respondent after discharge (unit)
Q442N        , in M67                     , Time checkup on respondent after discharge (number)
Q443         , M68                        , Person giving checkup on respondent after discharge
Q444         , M69                        , Place of checkup on respondent after discharge
Q445         , M70                        , Postnatal checkup on child within 2 months of discharge
Q446U        , in M71                     , Time postnatal checkup of child within 2 months of discharge (unit)
Q446N        , in M71                     , Time postnatal checkup of child within 2 months of discharge (number)
Q447         , M72                        , Person giving postnatal check on child within 2 months of discharge
Q448         , M73                        , Place first postnatal checkup on child within 2 months of discharge
Q449         , M66                        , Respondent received postnatal check after home delivery
Q450U        , in M67                     , Time respondent received postnatal check after home delivery (unit)
Q450N        , in M67                     , Time respondent received postnatal check after home delivery (number)
Q451         , M68                        , Person giving postnatal check on respondent after home delivery
Q452         , M69                        , Place postnatal check on respondent after home delivery
Q453         , M70                        , Child received postnatal check after home delivery
Q454U        , in M71                     , Time postnatal checkup of child after home delivery (unit)
Q454N        , in M71                     , Time postnatal checkup of child after home delivery (number)
Q455         , M72                        , Person giving postnatal check on child after home delivery
Q456         , M73                        , Place postnatal check on child after home delivery
Q457A        , M78A                       , During first 2 days/health care provider examined the cord
Q457B        , M78B                       , During first 2 days/health care provider examined temperature
Q457C        , M78C                       , During first 2 days/health care provider examined signs
Q457D        , M78E                       , During first 2 days/health care provider counseled breastfeeding
Q457E        , M78E                       , During first 2 days/health care provider observed breastfeeding
Q458         , in M6/M7                   , Period returned
Q459         , in M6/M7                   , Period returned between births
Q460         , in M6/M7                   , Months without a period
Q462         , in M8/M9                   , Begun to have sexual intercourse
Q463         , in M8/M9                   , Months without sexual intercourse
Q464         , in M4/M5                   , Ever breastfed
Q466U        , in M34                     , When child put to breast (Unit)
Q466N        , in M34                     , When child put to breast (Number)
Q467         , M55                        , Fluid other than breast milk after first 3 days
Q469         , M4                         , Still breastfeeding
Q470         , M38                        , Drink in a bottle with nipple
Q460F        , M28                        , Flag for amenorrhea
Q463F        , M29                        , Flag for abstinence
Q466F        , M27                        , Flag for breastfeeding
QWSEC5       , REC43                      , Health and Vaccinations
Q502         , HIDX/BIDX                  , Line number in birth history
Q504         , in H1/in H1A               , Has vaccination card
Q505         , in H1                      , Ever had vaccination card
Q507         , in H1/in H1A               , Observation of vaccination card
Q508B        , H2                         , BCG date
D508B        , H2D                        , BCG day
M508B        , H2M                        , BCG month
Y508B        , H2Y                        , BCG year
Q508H        , H50                        , Hepatitis B at birth date
D508H        , H50D                       , Hepatitis B at birth day
M508H        , H50M                       , Hepatitis B at birth month
Y508H        , H50Y                       , Hepatitis B at birth year
Q508P0       , H0                         , Oral Polio at birth date
D508P0       , H0D                        , Oral Polio at birth day
M508P0       , H0M                        , Oral Polio at birth month
Y508P0       , H0Y                        , Oral Polio at birth year
Q508P1       , H4                         , Oral Polio 1 date
D508P1       , H4D                        , Oral Polio 1 day
M508P1       , H4M                        , Oral Polio 1 month
Y508P1       , H4Y                        , Oral Polio 1 year
Q508P2       , H6                         , Oral Polio 2 date
D508P2       , H6D                        , Oral Polio 2 day
M508P2       , H6M                        , Oral Polio 2 month
Y508P2       , H6Y                        , Oral Polio 2 year
Q508P3       , H8                         , Oral Polio 3 date
D508P3       , H8D                        , Oral Polio 3 day
M508P3       , H8M                        , Oral Polio 3 month
Y508P3       , H8Y                        , Oral Polio 3 year
Q508D1       , H3/H51                     , DPT-HEP.B-HIB (PENTAVALENT) 1 date
D508D1       , H3D/H51D                   , DPT-HEP.B-HIB (PENTAVALENT) 1 day
M508D1       , H3M/H51M                   , DPT-HEP.B-HIB (PENTAVALENT) 1 month
Y508D1       , H3Y/H51Y                   , DPT-HEP.B-HIB (PENTAVALENT) 1 year
Q508D2       , H5/H52                     , DPT-HEP.B-HIB (PENTAVALENT) 2 date
D508D2       , H5D/H52D                   , DPT-HEP.B-HIB (PENTAVALENT) 2 day
M508D2       , H5M/H52M                   , DPT-HEP.B-HIB (PENTAVALENT) 2 month
Y508D2       , H5Y/H52Y                   , DPT-HEP.B-HIB (PENTAVALENT) 2 year
Q508D3       , H7/H53                     , DPT-HEP.B-HIB (PENTAVALENT) 3 date
D508D3       , H7D/H53D                   , DPT-HEP.B-HIB (PENTAVALENT) 3 day
M508D3       , H7M/H53M                   , DPT-HEP.B-HIB (PENTAVALENT) 3 month
Y508D3       , H7Y/H53Y                   , DPT-HEP.B-HIB (PENTAVALENT) 3 year
Q508N1       , H54                        , Pneumococcal 1 date
D508N1       , H54D                       , Pneumococcal 1 day
M508N1       , H54M                       , Pneumococcal 1 month
Y508N1       , H54Y                       , Pneumococcal 1 year
Q508N2       , H55                        , Pneumococcal 2 date
D508N2       , H55D                       , Pneumococcal 2 day
M508N2       , H55M                       , Pneumococcal 2 month
Y508N2       , H55Y                       , Pneumococcal 2 year
