NAME      , LABEL
bord_14   , birth order number  
bord_15   , birth order number  
bord_16   , birth order number  
bord_17   , birth order number  
bord_18   , birth order number  
bord_19   , birth order number  
bord_20   , birth order number  
b0_01     , child is twin   
b0_02     , child is twin   
b0_03     , child is twin   
b0_04     , child is twin   
b0_05     , child is twin   
b0_06     , child is twin   
b0_07     , child is twin   
b0_08     , child is twin   
b0_09     , child is twin   
b0_10     , child is twin   
b0_11     , child is twin   
b0_12     , child is twin   
b0_13     , child is twin   
b0_14     , child is twin   
b0_15     , child is twin   
b0_16     , child is twin   
b0_17     , child is twin   
b0_18     , child is twin   
b0_19     , child is twin   
b0_20     , child is twin   
b1_01     , month of birth  
b1_02     , month of birth  
b1_03     , month of birth  
b1_04     , month of birth  
b1_05     , month of birth  
b1_06     , month of birth  
b1_07     , month of birth  
b1_08     , month of birth  
b1_09     , month of birth  
b1_10     , month of birth  
b1_11     , month of birth  
b1_12     , month of birth  
b1_13     , month of birth  
b1_14     , month of birth  
b1_15     , month of birth  
b1_16     , month of birth  
b1_17     , month of birth  
b1_18     , month of birth  
b1_19     , month of birth  
b1_20     , month of birth  
b2_01     , year of birth   
b2_02     , year of birth   
b2_03     , year of birth   
b2_04     , year of birth   
b2_05     , year of birth   
b2_06     , year of birth   
b2_07     , year of birth   
b2_08     , year of birth   
b2_09     , year of birth   
b2_10     , year of birth   
b2_11     , year of birth   
b2_12     , year of birth   
b2_13     , year of birth   
b2_14     , year of birth   
b2_15     , year of birth   
b2_16     , year of birth   
b2_17     , year of birth   
b2_18     , year of birth   
b2_19     , year of birth   
b2_20     , year of birth   
b3_01     , date of birth (cmc) 
b3_02     , date of birth (cmc) 
b3_03     , date of birth (cmc) 
b3_04     , date of birth (cmc) 
b3_05     , date of birth (cmc) 
b3_06     , date of birth (cmc) 
b3_07     , date of birth (cmc) 
b3_08     , date of birth (cmc) 
b3_09     , date of birth (cmc) 
b3_10     , date of birth (cmc) 
b3_11     , date of birth (cmc) 
b3_12     , date of birth (cmc) 
b3_13     , date of birth (cmc) 
b3_14     , date of birth (cmc) 
b3_15     , date of birth (cmc) 
b3_16     , date of birth (cmc) 
b3_17     , date of birth (cmc) 
b3_18     , date of birth (cmc) 
b3_19     , date of birth (cmc) 
b3_20     , date of birth (cmc) 
b4_01     , sex of child    
b4_02     , sex of child    
b4_03     , sex of child    
b4_04     , sex of child    
b4_05     , sex of child    
b4_06     , sex of child    
b4_07     , sex of child    
b4_08     , sex of child    
b4_09     , sex of child    
b4_10     , sex of child    
b4_11     , sex of child    
b4_12     , sex of child    
b4_13     , sex of child    
b4_14     , sex of child    
b4_15     , sex of child    
b4_16     , sex of child    
b4_17     , sex of child    
b4_18     , sex of child    
b4_19     , sex of child    
b4_20     , sex of child    
b5_01     , child is alive  
b5_02     , child is alive  
b5_03     , child is alive  
b5_04     , child is alive  
b5_05     , child is alive  
b5_06     , child is alive  
b5_07     , child is alive  
b5_08     , child is alive  
b5_09     , child is alive  
b5_10     , child is alive  
b5_11     , child is alive  
b5_12     , child is alive  
b5_13     , child is alive  
b5_14     , child is alive  
b5_15     , child is alive  
b5_16     , child is alive  
b5_17     , child is alive  
b5_18     , child is alive  
b5_19     , child is alive  
b5_20     , child is alive  
b6_01     , age at death    
b6_02     , age at death    
b6_03     , age at death    
b6_04     , age at death    
b6_05     , age at death    
b6_06     , age at death    
b6_07     , age at death    
b6_08     , age at death    
b6_09     , age at death    
b6_10     , age at death    
b6_11     , age at death    
b6_12     , age at death    
b6_13     , age at death    
b6_14     , age at death    
b6_15     , age at death    
b6_16     , age at death    
b6_17     , age at death    
b6_18     , age at death    
b6_19     , age at death    
b6_20     , age at death    
b7_01     , age at death (months-imputed)   
b7_02     , age at death (months-imputed)   
b7_03     , age at death (months-imputed)   
b7_04     , age at death (months-imputed)   
b7_05     , age at death (months-imputed)   
b7_06     , age at death (months-imputed)   
b7_07     , age at death (months-imputed)   
b7_08     , age at death (months-imputed)   
b7_09     , age at death (months-imputed)   
b7_10     , age at death (months-imputed)   
b7_11     , age at death (months-imputed)   
b7_12     , age at death (months-imputed)   
b7_13     , age at death (months-imputed)   
b7_14     , age at death (months-imputed)   
b7_15     , age at death (months-imputed)   
b7_16     , age at death (months-imputed)   
b7_17     , age at death (months-imputed)   
b7_18     , age at death (months-imputed)   
b7_19     , age at death (months-imputed)   
b7_20     , age at death (months-imputed)   
b8_01     , current age of child    
b8_02     , current age of child    
b8_03     , current age of child    
b8_04     , current age of child    
b8_05     , current age of child    
b8_06     , current age of child    
b8_07     , current age of child    
b8_08     , current age of child    
b8_09     , current age of child    
b8_10     , current age of child    
b8_11     , current age of child    
b8_12     , current age of child    
b8_13     , current age of child    
b8_14     , current age of child    
b8_15     , current age of child    
b8_16     , current age of child    
b8_17     , current age of child    
b8_18     , current age of child    
b8_19     , current age of child    
b8_20     , current age of child    
b9_01     , child lives with whom   
b9_02     , child lives with whom   
b9_03     , child lives with whom   
b9_04     , child lives with whom   
b9_05     , child lives with whom   
b9_06     , child lives with whom   
b9_07     , child lives with whom   
b9_08     , child lives with whom   
b9_09     , child lives with whom   
b9_10     , child lives with whom   
b9_11     , child lives with whom   
b9_12     , child lives with whom   
b9_13     , child lives with whom   
b9_14     , child lives with whom   
b9_15     , child lives with whom   
b9_16     , child lives with whom   
b9_17     , child lives with whom   
b9_18     , child lives with whom   
b9_19     , child lives with whom   
b9_20     , child lives with whom   
b10_01    , completeness of information 
b10_02    , completeness of information 
b10_03    , completeness of information 
b10_04    , completeness of information 
b10_05    , completeness of information 
b10_06    , completeness of information 
b10_07    , completeness of information 
b10_08    , completeness of information 
b10_09    , completeness of information 
b10_10    , completeness of information 
b10_11    , completeness of information 
b10_12    , completeness of information 
b10_13    , completeness of information 
b10_14    , completeness of information 
b10_15    , completeness of information 
b10_16    , completeness of information 
b10_17    , completeness of information 
b10_18    , completeness of information 
b10_19    , completeness of information 
b10_20    , completeness of information 
b11_01    , preceding birth interval    
b11_02    , preceding birth interval    
b11_03    , preceding birth interval    
b11_04    , preceding birth interval    
b11_05    , preceding birth interval    
b11_06    , preceding birth interval    
b11_07    , preceding birth interval    
b11_08    , preceding birth interval    
b11_09    , preceding birth interval    
b11_10    , preceding birth interval    
b11_11    , preceding birth interval    
b11_12    , preceding birth interval    
b11_13    , preceding birth interval    
b11_14    , preceding birth interval    
b11_15    , preceding birth interval    
b11_16    , preceding birth interval    
b11_17    , preceding birth interval    
b11_18    , preceding birth interval    
b11_19    , preceding birth interval    
b11_20    , preceding birth interval    
b12_01    , succeeding birth interval   
b12_02    , succeeding birth interval   
b12_03    , succeeding birth interval   
b12_04    , succeeding birth interval   
b12_05    , succeeding birth interval   
b12_06    , succeeding birth interval   
b12_07    , succeeding birth interval   
b12_08    , succeeding birth interval   
b12_09    , succeeding birth interval   
b12_10    , succeeding birth interval   
b12_11    , succeeding birth interval   
b12_12    , succeeding birth interval   
b12_13    , succeeding birth interval   
b12_14    , succeeding birth interval   
b12_15    , succeeding birth interval   
b12_16    , succeeding birth interval   
b12_17    , succeeding birth interval   
b12_18    , succeeding birth interval   
b12_19    , succeeding birth interval   
b12_20    , succeeding birth interval   
b13_01    , flag for age at death   
b13_02    , flag for age at death   
b13_03    , flag for age at death   
b13_04    , flag for age at death   
b13_05    , flag for age at death   
b13_06    , flag for age at death   
b13_07    , flag for age at death   
b13_08    , flag for age at death   
b13_09    , flag for age at death   
b13_10    , flag for age at death   
b13_11    , flag for age at death   
b13_12    , flag for age at death   
b13_13    , flag for age at death   
b13_14    , flag for age at death   
b13_15    , flag for age at death   
b13_16    , flag for age at death   
b13_17    , flag for age at death   
b13_18    , flag for age at death   
b13_19    , flag for age at death   
b13_20    , flag for age at death   
b15_01    , live birth between births   
b15_02    , live birth between births   
b15_03    , live birth between births   
b15_04    , live birth between births   
b15_05    , live birth between births   
b15_06    , live birth between births   
b15_07    , live birth between births   
b15_08    , live birth between births   
b15_09    , live birth between births   
b15_10    , live birth between births   
b15_11    , live birth between births   
b15_12    , live birth between births   
b15_13    , live birth between births   
b15_14    , live birth between births   
b15_15    , live birth between births   
b15_16    , live birth between births   
b15_17    , live birth between births   
b15_18    , live birth between births   
b15_19    , live birth between births   
b15_20    , live birth between births   
b16_01    , child's line number in household    
b16_02    , child's line number in household    
b16_03    , child's line number in household    
b16_04    , child's line number in household    
b16_05    , child's line number in household    
b16_06    , child's line number in household    
b16_07    , child's line number in household    
b16_08    , child's line number in household    
b16_09    , child's line number in household    
b16_10    , child's line number in household    
b16_11    , child's line number in household    
b16_12    , child's line number in household    
b16_13    , child's line number in household    
b16_14    , child's line number in household    
b16_15    , child's line number in household    
b16_16    , child's line number in household    
b16_17    , child's line number in household    
b16_18    , child's line number in household    
b16_19    , child's line number in household    
b16_20    , child's line number in household    
v201      , total children ever born    
v202      , sons at home    
v203      , daughters at home   
v204      , sons elsewhere  
v205      , daughters elsewhere 
v206      , sons who have died  
v207      , daughters who have died 
v208      , births in last five years   
v209      , births in past year 
v210      , births in month of interview    
v211      , date of first birth (cmc)   
v212      , age of respondent at 1st birth  
v213      , currently pregnant  
v214      , duration of current pregnancy   
v215      , time since last menstrual perd  
v216      , menstruated in last six weeks   
v217      , knowledge of ovulatory cycle    
v218      , number of living children   
v219      , living children + current preg  
v220      , living children + curr preg 6+  
v221      , marriage to first birth int.    
v222      , last birth to interview 
v223      , completeness of curr preg. inf  
v224      , entries in birth history    
v225      , current pregnancy wanted    
v226      , time since last period (comp)   
v227      , flag for last period    
v228      , ever had a terminated preg. 
v229      , month pregnancy ended   
v230      , year pregnancy ended    
v231      , cmc pregnancy ended 
v232      , completeness of last term. inf  
v233      , months when pregnancy ended 
v234      , other such pregnancies  
v235      , index last child prior to cal.  
v237      , birth between last & interview  
v238      , births in last three years  
v239      , pregnancies terminated before calendar beginning    
v240      , month of last termination prior to calendar 
v241      , year of last termination prior to calendar  
v242      , cmc termination ended prior to calendar 
v243      , completeness of last termination date prior to calendar 
v301      , knowledge of any method 
v302      , ever use of any method  
v304a_01  , type of method  
v304a_02  , type of method  
v304a_03  , type of method  
v304a_04  , type of method  
v304a_05  , type of method  
v304a_06  , type of method  
v304a_07  , type of method  
v304a_08  , type of method  
v304a_09  , type of method  
v304a_10  , type of method  
v304a_11  , type of method  
v304a_12  , type of method  
v304a_13  , type of method  
v304a_14  , type of method  
v304a_15  , type of method  
v304a_16  , type of method  
v304a_17  , type of method  
v304a_18  , type of method  
v304a_19  , type of method  
v304a_20  , type of method  
v304_01   , knows method    
v304_02   , knows method    
v304_03   , knows method    
v304_04   , knows method    
v304_05   , knows method    
v304_06   , knows method    
v304_07   , knows method    
v304_08   , knows method    
v304_09   , knows method    
v304_10   , knows method    
v304_11   , knows method    
v304_12   , knows method    
v304_13   , knows method    
v304_14   , knows method    
v304_15   , knows method    
v304_16   , knows method    
v304_17   , knows method    
v304_18   , knows method    
v304_19   , knows method    
v304_20   , knows method    
v305_01   , ever used method    
v305_02   , ever used method    
v305_03   , ever used method    
v305_04   , ever used method    
v305_05   , ever used method    
v305_06   , ever used method    
v305_07   , ever used method    
v305_08   , ever used method    
v305_09   , ever used method    
v305_10   , ever used method    
v305_11   , ever used method    
v305_12   , ever used method    
v305_13   , ever used method    
v305_14   , ever used method    
v305_15   , ever used method    
v305_16   , ever used method    
v305_17   , ever used method    
v305_18   , ever used method    
v305_19   , ever used method    
v305_20   , ever used method    
v307_01   , method currently used   
v307_02   , method currently used   
v307_03   , method currently used   
v307_04   , method currently used   
v307_05   , method currently used   
v307_06   , method currently used   
v307_07   , method currently used   
v307_08   , method currently used   
v307_09   , method currently used   
v307_10   , method currently used   
v307_11   , method currently used   
v307_12   , method currently used   
v307_13   , method currently used   
v307_14   , method currently used   
v307_15   , method currently used   
v307_16   , method currently used   
v307_17   , method currently used   
v307_18   , method currently used   
v307_19   , method currently used   
v307_20   , method currently used   
v310      , living children at first use    
v311      , children at first use (grpd)    
v312      , current contraceptive method    
v313      , current use by method type  
v315      , month of start of use of method 
v316      , year of start of use of method  
v317      , date of start of use of method (cmc)    
v318      , completeness of information 
v319      , years since sterilization   
v320      , age at sterilization    
v321      , marital duration at sterilization   
v322      , parity at sterilization 
v323      , brand of pill used  
v323a     , brand of condom used    
v325a     , cost of current method in us-cents (at r4242/$) 
v326      , last source for current users   
v327      , last source for users by type   
v337      , months of use of current method 
v359      , last method disc. last 5 years  
v360      , reason of last discontinuation  
v361      , pattern of use  
v362      , intention to use    
v363      , preferred future method 
v364      , contraceptive use & intention   
v367      , wanted last child   
v372      , shown pill package  
v372a     , shown condom package    
v375a     , main reason not using a method  
v376      , main reason not to use a meth.  
v376a     , would ever use method if marr.  
v379      , source known for any method 
v380      , source known for any method 
v384a     , heard fp on radio last months   
v384b     , heard fp on tv last months  
v384c     , heard fp newspaper last months  
v393      , visited by fp worker last 12m   
v394      , visited health facil. last 12m  
v395      , at health facility told of fp  
v3a00a    , source of fp for non-users: government hosp.    
v3a00b    , source of fp for non-users: govt health cntr    
v3a00c    , source of fp for non-users: fp clinic   
v3a00d    , source of fp for non-users: mobile clinic   
v3a00e    , source of fp for non-users: cs military hospital    
v3a00f    , source of fp for non-users: cs public sector    
v3a00g    , source of fp for non-users: cs public sector    
v3a00h    , source of fp for non-users: cs public sector    
v3a00i    , source of fp for non-users: oth public sector   
v3a00j    , source of fp for non-users: private hosp/clin   
v3a00k    , source of fp for non-users: private pharmacy    
v3a00l    , source of fp for non-users: private doctor  
v3a00m    , source of fp for non-users: private mobile cl   
v3a00n    , source of fp for non-users: fieldworker 
v3a00o    , source of fp for non-users: cs med.priv sect    
v3a00p    , source of fp for non-users: cs med.priv sect    
v3a00q    , source of fp for non-users: cs med.priv sect    
v3a00r    , source of fp for non-users: oth med.priv sect   
v3a00s    , source of fp for non-users: shop    
v3a00t    , source of fp for non-users: church  
v3a00u    , source of fp for non-users: friend/ relative    
v3a00v    , source of fp for non-users: cs oth.priv sect    
v3a00w    , source of fp for non-users: cs oth.priv sect    
v3a00x    , source of fp for non-users: other   
v3a00y    , source of fp for non-users: no source   
v3a00z    , source of fp for non-users: any source  
v3a01     , told sterilization would mean no more children  
v3a02     , told about side effects 
v3a03     , told about side effects by health or fp worker  
v3a04     , told how to deal with side effects  
v3a05     , told about other fp methods 
v3a06     , told about other fp methods by health or fp worker  
v3a07     , first source for current method 
v3a08a    , reason not using: not married   
v3a08b    , reason not using: not having sex    
v3a08c    , reason not using: infrequent sex    
v3a08d    , reason not using: menopausal/hysterectomy   
v3a08e    , reason not using: subfecund/infecund    
v3a08f    , reason not using: postpartum amenorrheic    
v3a08g    , reason not using: breastfeeding 
v3a08h    , reason not using: fatalistic    
v3a08i    , reason not using: respondent opposed    
v3a08j    , reason not using: husband/partner opposed   
v3a08k    , reason not using: others opposed    
v3a08l    , reason not using: religious prohibition 
v3a08m    , reason not using: knows no method   
v3a08n    , reason not using: knows no source   
v3a08o    , reason not using: health concerns   
v3a08p    , reason not using: fear of side effects  
v3a08q    , reason not using: lack of access/too far    
v3a08r    , reason not using: costs too much    
v3a08s    , reason not using: inconvenient to use   
v3a08t    , reason not using: interferes with bodys processes   
v3a08u    , reason not using: country specific  
v3a08v    , reason not using: country specific  
v3a08w    , reason not using: country specific  
v3a08x    , reason not using: other 
v3a08z    , reason not using: don't know    
v3a09a    , how many pill cycles did get last time  
v3a09b    , how many condoms did get last time  
midx_1    , index to birth history  
midx_2    , index to birth history  
midx_3    , index to birth history  
midx_4    , index to birth history  
midx_5    , index to birth history  
midx_6    , index to birth history  
m1_1      , tetanus injections bef. birth   
m1_2      , tetanus injections bef. birth   
m1_3      , tetanus injections bef. birth   
m1_4      , tetanus injections bef. birth   
m1_5      , tetanus injections bef. birth   
m1_6      , tetanus injections bef. birth   
m1a_1     , tetanus injections before pregnancy 
m1a_2     , tetanus injections before pregnancy 
m1a_3     , tetanus injections before pregnancy 
m1a_4     , tetanus injections before pregnancy 
m1a_5     , tetanus injections before pregnancy 
m1a_6     , tetanus injections before pregnancy 
m1b_1     , month last tetanus injection before pregnancy   
m1b_2     , month last tetanus injection before pregnancy   
m1b_3     , month last tetanus injection before pregnancy   
m1b_4     , month last tetanus injection before pregnancy   
m1b_5     , month last tetanus injection before pregnancy   
m1b_6     , month last tetanus injection before pregnancy   
m1c_1     , year last tetanus injection before pregnancy    
m1c_2     , year last tetanus injection before pregnancy    
m1c_3     , year last tetanus injection before pregnancy    
m1c_4     , year last tetanus injection before pregnancy    
m1c_5     , year last tetanus injection before pregnancy    
m1c_6     , year last tetanus injection before pregnancy    
m1d_1     , years ago received last tetanus injection before pregnancy  
m1d_2     , years ago received last tetanus injection before pregnancy  
m1d_3     , years ago received last tetanus injection before pregnancy  
m1d_4     , years ago received last tetanus injection before pregnancy  
m1d_5     , years ago received last tetanus injection before pregnancy  
m1d_6     , years ago received last tetanus injection before pregnancy  
m1e_1     , last tetanus injection before pregnancy (cmc)   
m1e_2     , last tetanus injection before pregnancy (cmc)   
m1e_3     , last tetanus injection before pregnancy (cmc)   
m1e_4     , last tetanus injection before pregnancy (cmc)   
m1e_5     , last tetanus injection before pregnancy (cmc)   
m1e_6     , last tetanus injection before pregnancy (cmc)   
m2a_1     , prenatal: doctor    
m2a_2     , prenatal: doctor    
m2a_3     , prenatal: doctor    
m2a_4     , prenatal: doctor    
m2a_5     , prenatal: doctor    
m2a_6     , prenatal: doctor    
m2b_1     , prenatal: nurse/midwife 
m2b_2     , prenatal: nurse/midwife 
m2b_3     , prenatal: nurse/midwife 
m2b_4     , prenatal: nurse/midwife 
m2b_5     , prenatal: nurse/midwife 
m2b_6     , prenatal: nurse/midwife 
m2c_1     , prenatal: auxiliary midwife 
m2c_2     , prenatal: auxiliary midwife 
m2c_3     , prenatal: auxiliary midwife 
m2c_4     , prenatal: auxiliary midwife 
m2c_5     , prenatal: auxiliary midwife 
m2c_6     , prenatal: auxiliary midwife 
m2d_1     , prenatal: cs health profession  
m2d_2     , prenatal: cs health profession  
m2d_3     , prenatal: cs health profession  
m2d_4     , prenatal: cs health profession  
m2d_5     , prenatal: cs health profession  
m2d_6     , prenatal: cs health profession  
m2e_1     , prenatal: cs health profession  
m2e_2     , prenatal: cs health profession  
m2e_3     , prenatal: cs health profession  
m2e_4     , prenatal: cs health profession  
m2e_5     , prenatal: cs health profession  
m2e_6     , prenatal: cs health profession  
m2f_1     , prenatal: trained birth att.    
m2f_2     , prenatal: trained birth att.    
m2f_3     , prenatal: trained birth att.    
m2f_4     , prenatal: trained birth att.    
m2f_5     , prenatal: trained birth att.    
m2f_6     , prenatal: trained birth att.    
m2g_1     , prenatal: trad.birth attendant  
m2g_2     , prenatal: trad.birth attendant  
m2g_3     , prenatal: trad.birth attendant  
m2g_4     , prenatal: trad.birth attendant  
m2g_5     , prenatal: trad.birth attendant  
m2g_6     , prenatal: trad.birth attendant  
m2h_1     , prenatal: relative  
m2h_2     , prenatal: relative  
m2h_3     , prenatal: relative  
m2h_4     , prenatal: relative  
m2h_5     , prenatal: relative  
m2h_6     , prenatal: relative  
m2i_1     , prenatal: cs other person   
m2i_2     , prenatal: cs other person   
m2i_3     , prenatal: cs other person   
m2i_4     , prenatal: cs other person   
m2i_5     , prenatal: cs other person   
m2i_6     , prenatal: cs other person   
m2j_1     , prenatal: cs other person   
m2j_2     , prenatal: cs other person   
m2j_3     , prenatal: cs other person   
m2j_4     , prenatal: cs other person   
m2j_5     , prenatal: cs other person   
m2j_6     , prenatal: cs other person   
m2k_1     , prenatal: other resp (uncoded)  
m2k_2     , prenatal: other resp (uncoded)  
m2k_3     , prenatal: other resp (uncoded)  
m2k_4     , prenatal: other resp (uncoded)  
m2k_5     , prenatal: other resp (uncoded)  
m2k_6     , prenatal: other resp (uncoded)  
m2l_1     , prenatal: cs other  
m2l_2     , prenatal: cs other  
m2l_3     , prenatal: cs other  
m2l_4     , prenatal: cs other  
m2l_5     , prenatal: cs other  
m2l_6     , prenatal: cs other  
m2m_1     , prenatal: cs other  
m2m_2     , prenatal: cs other  
m2m_3     , prenatal: cs other  
m2m_4     , prenatal: cs other  
m2m_5     , prenatal: cs other  
m2m_6     , prenatal: cs other  
m2n_1     , prenatal: no one    
m2n_2     , prenatal: no one    
m2n_3     , prenatal: no one    
m2n_4     , prenatal: no one    
m2n_5     , prenatal: no one    
m2n_6     , prenatal: no one    
m3a_1     , assistance: doctor  
m3a_2     , assistance: doctor  
m3a_3     , assistance: doctor  
m3a_4     , assistance: doctor  
m3a_5     , assistance: doctor  
m3a_6     , assistance: doctor  
m3b_1     , assistance: nurse/midwife   
m3b_2     , assistance: nurse/midwife   
m3b_3     , assistance: nurse/midwife   
m3b_4     , assistance: nurse/midwife   
m3b_5     , assistance: nurse/midwife   
m3b_6     , assistance: nurse/midwife   
m3c_1     , assistance: auxiliary midwife   
m3c_2     , assistance: auxiliary midwife   
m3c_3     , assistance: auxiliary midwife   
m3c_4     , assistance: auxiliary midwife   
m3c_5     , assistance: auxiliary midwife   
m3c_6     , assistance: auxiliary midwife   
m3d_1     , assistance: cs health profess.  
m3d_2     , assistance: cs health profess.  
m3d_3     , assistance: cs health profess.  
m3d_4     , assistance: cs health profess.  
m3d_5     , assistance: cs health profess.  
m3d_6     , assistance: cs health profess.  
m3e_1     , assistance: cs health profess.  
m3e_2     , assistance: cs health profess.  
m3e_3     , assistance: cs health profess.  
m3e_4     , assistance: cs health profess.  
m3e_5     , assistance: cs health profess.  
m3e_6     , assistance: cs health profess.  
m3f_1     , assistance: trained birth att.  
m3f_2     , assistance: trained birth att.  
m3f_3     , assistance: trained birth att.  
m3f_4     , assistance: trained birth att.  
m3f_5     , assistance: trained birth att.  
m3f_6     , assistance: trained birth att.  
m3g_1     , assistance: trad.birth attend.  
m3g_2     , assistance: trad.birth attend.  
m3g_3     , assistance: trad.birth attend.  
m3g_4     , assistance: trad.birth attend.  
m3g_5     , assistance: trad.birth attend.  
m3g_6     , assistance: trad.birth attend.  
m3h_1     , assistance: relativ/ friend    
m3h_2     , assistance: relativ/ friend    
m3h_3     , assistance: relativ/ friend    
m3h_4     , assistance: relativ/ friend    
m3h_5     , assistance: relativ/ friend    
m3h_6     , assistance: relativ/ friend    
m3i_1     , assistance: cs other person 
m3i_2     , assistance: cs other person 
m3i_3     , assistance: cs other person 
m3i_4     , assistance: cs other person 
m3i_5     , assistance: cs other person 
m3i_6     , assistance: cs other person 
m3j_1     , assistance: cs other person 
m3j_2     , assistance: cs other person 
m3j_3     , assistance: cs other person 
m3j_4     , assistance: cs other person 
m3j_5     , assistance: cs other person 
m3j_6     , assistance: cs other person 
m3k_1     , assistance: other resp (uncod)  
m3k_2     , assistance: other resp (uncod)  
m3k_3     , assistance: other resp (uncod)  
m3k_4     , assistance: other resp (uncod)  
m3k_5     , assistance: other resp (uncod)  
m3k_6     , assistance: other resp (uncod)  
m3l_1     , assistance: cs other    
m3l_2     , assistance: cs other    
m3l_3     , assistance: cs other    
m3l_4     , assistance: cs other    
m3l_5     , assistance: cs other    
m3l_6     , assistance: cs other    
m3m_1     , assistance: cs other    
m3m_2     , assistance: cs other    
m3m_3     , assistance: cs other    
m3m_4     , assistance: cs other    
m3m_5     , assistance: cs other    
m3m_6     , assistance: cs other    
m3n_1     , assistance: no one  
m3n_2     , assistance: no one  
m3n_3     , assistance: no one  
m3n_4     , assistance: no one  
m3n_5     , assistance: no one  
m3n_6     , assistance: no one  
m4_1      , duration of breastfeeding   
m4_2      , duration of breastfeeding   
m4_3      , duration of breastfeeding   
m4_4      , duration of breastfeeding   
m4_5      , duration of breastfeeding   
m4_6      , duration of breastfeeding   
m5_1      , months of breastfeeding 
m5_2      , months of breastfeeding 
m5_3      , months of breastfeeding 
m5_4      , months of breastfeeding 
m5_5      , months of breastfeeding 
m5_6      , months of breastfeeding 
m6_1      , duration of amenorrhea  
m6_2      , duration of amenorrhea  
m6_3      , duration of amenorrhea  
m6_4      , duration of amenorrhea  
m6_5      , duration of amenorrhea  
m6_6      , duration of amenorrhea  
m7_1      , months of amenorrhea    
m7_2      , months of amenorrhea    
m7_3      , months of amenorrhea    
m7_4      , months of amenorrhea    
m7_5      , months of amenorrhea    
m7_6      , months of amenorrhea    
m8_1      , duration of abstinence  
m8_2      , duration of abstinence  
m8_3      , duration of abstinence  
m8_4      , duration of abstinence  
m8_5      , duration of abstinence  
m8_6      , duration of abstinence  
m9_1      , months of abstinence    
m9_2      , months of abstinence    
m9_3      , months of abstinence    
m9_4      , months of abstinence    
m9_5      , months of abstinence    
m9_6      , months of abstinence    
